# idx zspec
sc_CDFS234108_P1M3Q1_P1M4Q1_022_2.fits 3.342079
sc_CDFS101998_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_015_2.fits 3.193015
sc_CDFS230755_P3M1Q1_015_1.fits 3.184778
sc_CDFS001280_P2M1Q4_P2M2Q4_025_1.fits 3.081808
sc_CDFS027049_P1M1Q4_P1M2Q4_P1M3Q4_P1M4Q4_003_1.fits 3.250613
sc_CDFS004151_P2M2Q4_P2M3Q4_006_4.fits 3.649931
sc_CDFS017345_P1M1Q1_P1M2Q1_P1M3Q1_P1M4Q1_010_1.fits 3.610113
sc_CDFS232419_P3M3Q1_008_2.fits 3.418474
sc_CDFS019593_P1M4Q1_P2M1Q1_004_3.fits 3.426179
sc_CDFS131717_P1M4Q1_024_1.fits 3.071544
sc_CDFS103010_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_018_2.fits 3.461458
sc_CDFS232407_P1M3Q1_P4M4Q1_P1M4Q1_P4M2Q1_001_1.fits 3.410693
sc_CDFS101861_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_014_1.fits 3.237637
sc_CDFS002584_P1M1Q4_P1M2Q4_P1M3Q4_P1M4Q4_021_2.fits 3.364893
sc_CDFS130840_P3M3Q1_P3M2Q1_004_2.fits 3.182581
sc_CDFS105702_P1M2Q4_P1M1Q4_P3M3Q4_001_2.fits 3.084732
sc_CDFS132586_P1M3Q1_P3M1Q1_P1M4Q1_P1M1Q1_001_1.fits 3.472084
sc_CDFS208053_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_025_1.fits 3.089812
sc_CDFS016769_P4M1Q1_P2M4Q1_004_1.fits 3.697258
sc_CDFS015428_P4M2Q1_P4M3Q1_004_1.fits 3.007882
sc_CDFS012786_P2M1Q1_P2M2Q1_P2M3Q1_P2M4Q1_005_1.fits 3.349728
sc_CDFS207213_P1M1Q4_P1M4Q4_P3M3Q4_P3M2Q4_002_2.fits 3.385779
sc_CDFS005891_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_007_1.fits 3.081345
sc_CDFS231194_P3M4Q1_026_1.fits 3.077991
sc_CDFS027379_P1M1Q4_P1M2Q4_P1M3Q4_P1M4Q4_001_1.fits 3.591412
sc_CDFS003496_P3M4Q4_002_3.fits 3.03139
sc_CDFS014729_P2M2Q1_P2M3Q1_021_1.fits 3.606533
sc_CDFS018915_P4M4Q1_P3M2Q1_001_1.fits 3.604487
sc_CDFS002312_P3M4Q4_017_1.fits 3.468291
sc_CDFS235637_P3M4Q1_019_3.fits 3.081455
sc_CDFS016368_P4M2Q1_P4M3Q1_009_2.fits 3.423797
sc_CDFS228618_P4M1Q1_P2M4Q1_006_1.fits 3.18768
sc_CDFS106745_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_023_1.fits 3.465135
