# idx zspec
sc_CDFS025828_P2M3Q2_P2M4Q2_013_1.fits 3.34891
sc_CDFS025948_P3M4Q2_008_1.fits 3.67471
sc_CDFS026421_P2M3Q2_P2M4Q2_010_1.fits 3.67699
sc_CDFS023527_P4M4Q2_P4M1Q2_P4M2Q2_P4M3Q2_006_2.fits 3.11133
sc_CDFS022563_P4M1Q2_P3M4Q2_003_1.fits 3.00389
sc_CDFS020954_P2M3Q2_P2M4Q2_003_1.fits 3.49858
sc_CDFS019527_P1M4Q2_P2M1Q2_011_1.fits 3.11589
sc_CDFS019824_P4M1Q2_P3M4Q2_002_1.fits 3.47354
sc_CDFS019505_P1M2Q2_P1M3Q2_002_1.fits 3.40172
sc_CDFS019276_P3M3Q2_P3M2Q2_001_1.fits 3.40241
sc_CDFS018882_P4M4Q2_P4M1Q2_P4M2Q2_P4M3Q2_004_1.fits 3.4042
sc_CDFS018201_P3M3Q2_P1M1Q2_P3M2Q2_001_1.fits 3.70756
sc_CDFS017195_P1M1Q2_019_2.fits 3.47016
sc_CDFS016526_P2M2Q2_P2M3Q2_020_1.fits 3.14521
sc_CDFS015347_P4M2Q2_P4M3Q2_003_2.fits 3.51717
sc_UDS021601_P1M2Q1_P1M3Q1_026_1.fits 3.347
sc_UDS023576_P1M2Q1_P1M3Q1_008_1.fits 3.50912
sc_UDS022772_P1M2Q1_P1M3Q1_003_1.fits 3.136
sc_UDS020394_P1M2Q1_P1M3Q1_039_1.fits 3.30852
sc_UDS020437_P1M1Q1_P1M2Q1_P1M3Q1_P1M4Q1_007_1.fits 3.20491
sc_UDS020932_P1M1Q1_014_1.fits 3.60075
sc_UDS020928_P1M1Q1_P1M2Q1_P1M3Q1_P1M4Q1_006_1.fits 3.13833
sc_UDS015609_P3M4Q1_005_2.fits 3.14471
sc_UDS018563_P3M2Q1_039_1.fits 2.98321
sc_UDS017820_P3M3Q1_P3M4Q1_003_2.fits 3.70482
sc_UDS022487_P3M4Q1_P1M1Q1_001_1.fits 3.06682
sc_UDS019129_P2M4Q1_037_1.fits 3.31308
sc_UDS015550_P2M1Q1_029_1.fits 3.21092
sc_UDS015438_P2M1Q1_027_1.fits 3.7019
sc_CDFS018775_P2M3Q1_P2M4Q1_007_1.fits 3.32287
sc_CDFS016098_P4M4Q1_P2M1Q1_001_1.fits 3.77131
sc_CDFS018969_P4M4Q1_P3M4Q1_P1M1Q1_001_1.fits 3.67119
sc_CDFS032490_P1M1Q1_P1M2Q1_P1M3Q1_P1M4Q1_004_1.fits 3.07495
sc_CDFS018675_P2M2Q1_P2M3Q1_007_2.fits 3.47148
sc_CDFS014729_P2M2Q1_P2M3Q1_021_1.fits 3.605
