# idx ew_lya ew_lya_err fesc_lya fesc_lya_err_l fesc_lya_err_u
sc_CDFS002646_P2M1Q4_P2M2Q4_P2M3Q4_P2M4Q4_007_1.fits 35.2 2.43 0.15648879914831548 0.05032143126504465 0.10313586782868339
sc_CDFS003974_P1M1Q4_P1M2Q4_P1M3Q4_P1M4Q4_029_1.fits 27.99 5.33 0.06424104578776232 0.025161502487088948 0.07067380834991259
sc_CDFS005198_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_006_1.fits 24.46 1.35 0.1315423044880077 0.05815738287518303 0.17288765423534064
sc_CDFS005274_P3M2Q3_036_2.fits 34.61 5.72 0.1578431903540844 0.06619190686493645 0.18757892244575208
sc_CDFS007541_P3M1Q4_P1M1Q4_P3M2Q4_P3M3Q4_001_1.fits 10.05 0.57 0.008838889051029423 0.002875780006288519 0.005871528692639516
sc_CDFS008906_P1M2Q4_P1M3Q4_023_2.fits 28.25 3.7 0.10016999822213006 0.024982714144076462 0.03970239015320412
sc_CDFS008948_P1M1Q4_018_1.fits 25.15 5.6 0.11456988328474024 0.04176642559814217 0.09768488508405954
sc_CDFS009489_P3M4Q4_013_2.fits 19.37 1.72 0.020509494134903147 0.006642016288538671 0.013408773443475581
sc_CDFS010131_P1M1Q4_P1M2Q4_P1M3Q4_P1M4Q4_010_1.fits 121.42 13.33 0.10598785573498648 0.023664149847109725 0.033316061154869264
sc_CDFS013868_P4M2Q1_P4M3Q1_002_1.fits 54.07 6.52 0.10932905360957926 0.03425884956765822 0.06644179243670195
sc_CDFS017602_P1M2Q2_P1M3Q2_025_1.fits 8.38 1.26 0.018545861241274934 0.007612667851282616 0.022113199126436257
sc_CDFS018717_P3M2Q2_P3M1Q2_001_1.fits 8.26 7.98 0.20022806071717264 0.16813440563830595 0.10722654640035384
sc_CDFS019568_P1M4Q2_P2M1Q2_007_1.fits 30.9 1.4 0.09171456920543643 0.025434262101665786 0.043823218755197985
sc_CDFS019868_P2M3Q2_P2M4Q2_021_1.fits 8.28 4.84 0.009916498211426287 0.00327532880804674 0.0070326400906742595
sc_CDFS019988_P1M3Q2_P1M4Q2_020_1.fits 10.24 1.05 0.017263068665655846 0.00722121146044734 0.020980970030536096
sc_CDFS020014_P1M1Q2_P3M1Q2_P2M4Q2_P2M1Q2_001_1.fits 13.34 1.09 0.01601001974509454 0.004269081918427529 0.0070771158240805
sc_CDFS021776_P2M3Q2_P3M4Q2_P2M2Q2_P2M4Q2_P2M1Q2_001_1.fits 55.63 5.73 0.058826197408518355 0.020157702296322383 0.04639397875241409
sc_CDFS022290_P2M3Q2_P2M4Q2_005_2.fits 44.11 4.04 0.16698319552189658 0.050160723408750094 0.0922195587695106
sc_CDFS022996_P4M4Q1_P4M3Q1_002_1.fits 15.25 2.66 0.046684420653923725 0.07547983400068754 0.05788426264615305
sc_CDFS024858_P2M1Q1_003_2.fits 41.74 4.3 0.2831293719857803 0.12013875529403478 0.3735734972193114
sc_CDFS025760_P1M1Q2_P1M4Q2_P2M1Q2_P2M2Q2_005_1.fits 20.12 2.32 0.1702710786227312 0.2655543645193984 0.21767415441260393
sc_CDFS026569_P4M4Q1_011_1.fits 20.98 11.24 0.20458881993768788 0.08939039452870212 0.2794645501832495
sc_CDFS029443_P3M2Q3_P1M1Q3_P1M2Q3_P3M1Q3_002_1.fits 34.41 3.44 0.06943508440601814 0.015708428367358987 0.02381976429016122
sc_CDFS102333_P2M1Q4_P2M2Q4_015_2.fits 9.41 1.3 0.05130118612374532 0.016842302205335564 0.03753007437788926
sc_CDFS102433_P4M1Q3_P4M4Q3_P4M2Q3_P4M3Q3_007_2.fits 26.75 1.44 0.03269395096349064 0.012066778160380556 0.028130267009650628
sc_CDFS115905_P1M1Q3_P1M4Q3_017_1.fits 18.88 1.2 0.37046946475030046 0.16231204733356575 0.48138208741466393
sc_CDFS132115_P3M3Q1_P3M4Q1_P3M1Q1_P3M2Q1_003_1.fits 15.51 0.82 0.027563232504746023 0.011994970022767842 0.03627381584220922
sc_CDFS133598_P3M1Q1_P2M4Q1_P3M2Q1_P1M1Q1_001_1.fits 2.34 0.36 0.003206195739345582 0.0010307195969858074 0.0020614991257422994
sc_CDFS137347_P1M1Q1_P1M2Q1_P1M3Q1_P1M4Q1_015_2.fits 8.79 0.62 0.07181534894212459 0.10367730274507946 0.09048996552746871
sc_CDFS202046_P2M1Q4_037_2.fits 6.48 3.35 0.03139975055540144 0.012035788346700629 0.03054649599963045
sc_CDFS202205_P2M1Q3_P2M3Q3_001_1.fits 25.19 1.88 0.04438623572631488 0.014233030280281351 0.02821072657948101
sc_CDFS202794_P2M2Q3_013_1.fits 20.87 1.45 0.011671323152444726 0.004543561369589263 0.01250435843944175
sc_CDFS203861_P2M1Q4_P2M2Q4_004_1.fits 3.7 2.57 0.0019795210818368643 0.0005693733809776804 0.0010262232052834072
sc_CDFS204014_P2M1Q4_P2M2Q4_013_2.fits 25.28 2.43 0.03216546840700914 0.012240212060818167 0.032697922651910745
sc_CDFS205737_P4M2Q3_P4M3Q3_002_1.fits 19.8 18.27 0.008635708392490738 0.002219428684807543 0.003545564753504293
sc_CDFS206629_P2M1Q4_P2M2Q4_009_1.fits 3.9 0.57 0.024748609299018988 0.01010297166373661 0.0296337294167665
sc_CDFS208588_P1M2Q4_P1M3Q4_031_1.fits 12.45 8.14 0.009818051608753015 0.003930224007513553 0.010425515511268442
sc_CDFS209144_P2M2Q3_P2M3Q3_023_1.fits 15.1 2.37 0.05012439707724577 0.013886505082898626 0.02419785764152957
sc_CDFS209736_P2M2Q3_P2M3Q3_014_1.fits 3.9 5.86 0.019941114007989952 0.032226732853214764 0.020845388658394783
sc_CDFS211279_P1M2Q3_P1M3Q3_004_1.fits 19.82 2.13 0.009276782559818291 0.0030006141511312477 0.006441598787927919
sc_CDFS215373_P4M1Q3_014_2.fits 26.78 1.81 0.04695951480792806 0.019576725686024123 0.05964459942481441
sc_CDFS215732_P2M3Q4_P2M4Q4_017_3.fits 5.25 2.89 0.07427808761080507 0.11694346738618937 0.09570503711222882
sc_CDFS216715_P2M2Q3_P2M3Q3_006_1.fits 4.34 2.97 0.004485691742448033 0.0015291789320327842 0.0035471423789493204
sc_CDFS216825_P1M3Q3_P1M4Q3_030_2.fits 9.39 3.27 0.06931602778279097 0.11870827261452783 0.08537142246364555
sc_CDFS222316_P3M1Q4_025_1.fits 6.26 4.15 0.03604393516728496 0.015177318425637954 0.04663433958344413
sc_CDFS225987_P4M1Q1_P2M4Q1_005_1.fits 2.67 1.84 0.002107591516716209 0.0006873438675045311 0.0015145398565449613
sc_CDFS226606_P2M1Q1_040_1.fits 46.45 3.13 0.04588112686077974 0.013921492813307602 0.02713428194793041
sc_CDFS226940_P4M1Q1_021_1.fits 163.85 27.09 0.1397556458067888 0.04484412634820392 0.09333144508875152
sc_CDFS229589_P1M3Q1_P1M4Q1_015_2.fits 14.36 2.73 0.00820297938117894 0.003292019859464793 0.008961459362290293
sc_CDFS231741_P2M3Q1_P2M4Q1_012_1.fits 23.42 1.94 0.0668571071837141 0.02070160935362155 0.03945168219792669
sc_CDFS232911_P1M1Q2_007_1.fits 84.85 6.93 0.11519384197517998 0.02740973599371342 0.0417244965325273
sc_CDFS234134_P4M4Q1_029_1.fits 3.93 2.24 0.005495861452086909 0.009139988810351406 0.00689873689626287
sc_CDFS235270_P4M2Q2_P4M3Q2_009_4.fits 13.93 3.31 0.04266700067627513 0.016118650237358263 0.03801734023025727
sc_CDFS238730_P4M1Q2_P3M4Q2_005_1.fits 8.43 1.16 0.004835244025586372 0.0020753024855941354 0.006254417272946211
sc_CDFS240934_P3M2Q2_P3M1Q2_006_1.fits 3.15 1.7 0.0016671960729197635 0.0005945983291493185 0.0012960260583399984
sc_CDFS242536_P1M1Q2_011_1.fits 0.7 6.88 0.03313734593624208 0.015455243832936437 0.009938029109526503
sc_CDFS243177_P3M4Q1_P1M2Q1_P1M1Q1_001_1.fits 2.71 1.38 0.08051761989092954 0.0709085599059652 0.04481081893791192
sc_CDFS245566_P2M1Q1_P2M2Q1_004_3.fits 16.39 2.56 0.044382208857395695 0.06589967986575049 0.041065779816600825
sc_CDFS247534_P1M1Q1_P1M2Q1_P1M3Q1_P1M4Q1_011_1.fits 60.71 2.16 0.2887629524417815 0.09959012485324517 0.22754885380092404
sc_UDS000184_P1M1Q4_002_4.fits 121.9 9.01 0.4039147135257252 0.12534836362568075 0.23370210684436665
sc_UDS000239_P1M4Q4_P3M1Q4_002_3.fits 12.41 1.18 0.02606665076214665 0.00849805068101498 0.017510984896692252
sc_UDS000493_P1M2Q3_P1M3Q3_009_2.fits 14.87 1.9 0.3656160249305577 0.46593544530161 0.2988276108925777
sc_UDS000957_P1M2Q3_P1M3Q3_032_1.fits 20.32 7.38 0.07541267207892854 0.02888900908027188 0.08043898495544757
sc_UDS001682_P1M3Q3_P1M4Q3_016_1.fits 5.0 5.92 0.012792482335953393 0.004002013804850532 0.008348383376225618
sc_UDS002059_P3M1Q4_P3M2Q4_004_1.fits 4.85 1.78 0.025358750799372838 0.04189397800049138 0.028075374659251782
sc_UDS002072_P3M3Q3_P3M2Q3_P3M4Q3_P3M1Q3_002_3.fits 3.24 2.9 0.010961294023068988 0.003998336504474634 0.009566251015371955
