#  wl flam flam_err
4.803806996822357178e+03 2.013692844225145261e-19 1.187854121257978890e-18
4.808812924755412496e+03 -3.558635433404505269e-21 1.067509470245082517e-18
4.813818852688468723e+03 2.504739955023642134e-19 9.768585004092379814e-19
4.818824780621524042e+03 4.990219164385795778e-19 8.965056585638572910e-19
4.823830708554580269e+03 -4.445111532227041157e-19 8.195432694108957698e-19
4.828836636487635587e+03 -4.183381078509502705e-19 7.090281591579866775e-19
4.833842564420691815e+03 8.523696926821118860e-19 6.159928590923964849e-19
4.838848492353747133e+03 -5.375326197361977428e-20 5.672764194779521402e-19
4.843854420286802451e+03 2.044750176799660144e-19 6.025454507785123917e-19
4.848860348219858679e+03 6.230696398796907236e-19 6.007035088619637754e-19
4.853866276152913997e+03 -2.255764452845881053e-19 5.140489430837945789e-19
4.858872204085970225e+03 -4.158152382874998019e-19 4.394598025467772197e-19
4.863878132019025543e+03 -4.816881398656357168e-19 3.982519082220577605e-19
4.868884059952080861e+03 5.212031822648918233e-19 3.763177777880853216e-19
4.873889987885137089e+03 2.588126530147237958e-19 3.810432823733127404e-19
4.878895915818192407e+03 1.640272996625726717e-19 3.885186626892686102e-19
4.883901843751248634e+03 -5.365770381231279121e-19 3.674851127993783534e-19
4.888907771684303952e+03 1.674973343295217459e-19 3.447196034134950517e-19
4.893913699617360180e+03 -1.222092650601158066e-19 3.251632327417432051e-19
4.898919627550415498e+03 2.118664250337857141e-19 3.064466429225401424e-19
4.903925555483470816e+03 5.003378999355745171e-19 2.945986436826054844e-19
4.908931483416527044e+03 3.555122957786750647e-19 2.784519724287466177e-19
4.913937411349582362e+03 1.753960637988527570e-19 2.435997218763247547e-19
4.918943339282638590e+03 -2.166722189064913940e-19 2.238924257028503656e-19
4.923949267215693908e+03 1.482554718331908793e-20 2.160442045419963237e-19
4.928955195148750136e+03 3.030862891696438885e-20 2.139620246047588989e-19
4.933961123081805454e+03 1.689099407541835067e-19 2.105127128432003136e-19
4.938967051014860772e+03 2.343671976447044079e-19 2.055978877228831721e-19
4.943972978947916999e+03 1.778574401572899825e-19 2.000510667987779826e-19
4.948978906880972318e+03 7.702304613094049416e-20 1.940292377653275497e-19
4.953984834814028545e+03 2.113653088647962023e-19 1.912588057055520980e-19
4.958990762747083863e+03 2.221486723688737333e-19 1.885008898447790061e-19
4.963996690680139181e+03 9.817109581693034733e-20 1.889588113801430413e-19
4.969002618613195409e+03 1.903817285499659969e-19 1.882872126426463551e-19
4.974008546546250727e+03 -3.300475433785505581e-20 1.818043694538696386e-19
4.979014474479306955e+03 2.826241587387279334e-19 1.695805249598704474e-19
4.984020402412362273e+03 1.861124178440704125e-19 1.658042869105195452e-19
4.989026330345418501e+03 8.496267378081933998e-20 1.636132101275042092e-19
4.994032258278473819e+03 2.131739235079392048e-19 1.656732412513383298e-19
4.999038186211529137e+03 -3.433824064814603748e-20 1.598822003944981938e-19
5.004044114144585365e+03 2.692546379667452616e-19 1.505262857038842498e-19
5.009050042077640683e+03 4.590983031643235701e-20 1.434452249860535190e-19
5.014055970010696910e+03 2.040440021347993231e-20 1.355121938738141308e-19
5.019061897943752228e+03 8.099981257760923505e-20 1.320845129702023777e-19
5.024067825876807547e+03 3.277616458982128687e-19 1.374565939709566421e-19
5.029073753809863774e+03 1.745644167594065896e-19 1.409091691668638716e-19
5.034079681742919092e+03 1.587520790935239468e-19 1.384472536107199706e-19
5.039085609675975320e+03 1.270344865872189211e-19 1.324122431730135631e-19
5.044091537609030638e+03 -7.329804132022785445e-21 1.272627632092847316e-19
5.049097465542086866e+03 -9.302779500110125734e-20 1.246810419880865292e-19
5.054103393475142184e+03 -7.595829531525093130e-20 1.228372393957074527e-19
5.059109321408197502e+03 -6.924805978089993712e-20 1.213095653465198441e-19
5.064115249341253730e+03 1.812245929726687741e-19 1.182719456830117880e-19
5.069121177274309048e+03 1.229984324614095553e-19 1.137648319664132635e-19
5.074127105207365275e+03 4.047687283544550085e-20 1.082211050208258312e-19
5.079133033140420594e+03 1.316662872905877740e-19 1.028312838955470457e-19
5.084138961073476821e+03 2.205360155793039108e-19 1.051785878779692666e-19
5.089144889006532139e+03 8.555900246020937958e-20 1.070193194467766212e-19
5.094150816939587457e+03 2.517096775412452179e-19 1.084321085828099406e-19
5.099156744872643685e+03 -1.169986366242139649e-19 1.064255887832788912e-19
5.104162672805699003e+03 4.727921689046992439e-21 1.071320936954667729e-19
5.109168600738755231e+03 1.242123720484182622e-19 1.093610993961214616e-19
5.114174528671810549e+03 1.024505960514156918e-19 1.116692988350030792e-19
5.119180456604865867e+03 -6.301361394759677342e-20 1.149638930305978393e-19
5.124186384537922095e+03 9.458473079588482145e-20 1.154193337932679073e-19
5.129192312470977413e+03 1.285215348500457661e-19 1.126148733005407266e-19
5.134198240404033641e+03 8.429609097850345242e-20 1.088452020964706278e-19
5.139204168337088959e+03 2.241555827634464388e-19 1.046490179195803025e-19
5.144210096270145186e+03 1.231816531990847312e-19 1.005330469741289008e-19
5.149216024203200504e+03 1.511760341412066718e-19 9.801016478900496371e-20
