#  wl flam flam_err
4.803806996822357178e+03 -1.386662948730741050e-19 8.456497366193779471e-19
4.808812924755412496e+03 7.844023300460312321e-19 7.831805547322381931e-19
4.813818852688468723e+03 -2.201710869950741017e-19 7.050313127224451301e-19
4.818824780621524042e+03 -1.471311595679798554e-19 6.334707503602026987e-19
4.823830708554580269e+03 1.447325726653794486e-19 5.939751012854252343e-19
4.828836636487635587e+03 -1.283967530743163971e-19 5.578457267330433696e-19
4.833842564420691815e+03 1.442550385117148624e-20 5.098389896254119418e-19
4.838848492353747133e+03 -2.550479016841148772e-19 4.467719520291718106e-19
4.843854420286802451e+03 8.636110336211509536e-20 3.998587159336438042e-19
4.848860348219858679e+03 -1.101673455575022536e-19 3.753835545358685179e-19
4.853866276152913997e+03 4.151926395591322728e-19 3.560437030695690321e-19
4.858872204085970225e+03 1.097279708983269751e-20 3.294406834765067029e-19
4.863878132019025543e+03 1.067155187908271398e-19 3.001371919376821747e-19
4.868884059952080861e+03 1.776098351085429714e-20 2.806993472538418534e-19
4.873889987885137089e+03 -6.579216787875440670e-20 2.674072601029478175e-19
4.878895915818192407e+03 1.655333620285393377e-19 2.509422288043412488e-19
4.883901843751248634e+03 1.708390123997445325e-19 2.288568619163935382e-19
4.888907771684303952e+03 3.353025552229609114e-19 2.087347242085015052e-19
4.893913699617360180e+03 1.700656068787314683e-19 1.993916588073864289e-19
4.898919627550415498e+03 -1.087794416957952752e-19 1.932387896132131033e-19
4.903925555483470816e+03 1.392816356266716286e-19 1.833613735788239905e-19
4.908931483416527044e+03 1.779812918993612581e-19 1.696145182207696193e-19
4.913937411349582362e+03 2.409452208759468925e-20 1.586848967697519324e-19
4.918943339282638590e+03 1.444835564208405189e-19 1.552919799472432357e-19
4.923949267215693908e+03 3.239703999772358170e-20 1.526634875492067299e-19
4.928955195148750136e+03 2.045362542361062381e-19 1.479430131916946849e-19
4.933961123081805454e+03 -7.062102084291960747e-20 1.382661312652720400e-19
4.938967051014860772e+03 1.849970332829638697e-19 1.343837896165476401e-19
4.943972978947916999e+03 1.236529921890124889e-19 1.357730292283751504e-19
4.948978906880972318e+03 1.873797357121488787e-20 1.381075863920878880e-19
4.953984834814028545e+03 -3.480732302660084410e-20 1.361427882230906433e-19
4.958990762747083863e+03 2.059099446259346893e-19 1.315659462621270059e-19
4.963996690680139181e+03 2.760867415403299674e-20 1.308919277127319548e-19
4.969002618613195409e+03 1.131893649881063292e-19 1.329165350784480204e-19
4.974008546546250727e+03 8.845326646364532154e-20 1.333308312117535880e-19
4.979014474479306955e+03 -5.045640727721408323e-20 1.276988462653818095e-19
4.984020402412362273e+03 2.487230066062497910e-20 1.191877549514441872e-19
