#  wl flam flam_err
4.803806996822357178e+03 -2.704581560577193323e-19 1.043962159474006753e-18
4.808812924755412496e+03 -7.852909368259839990e-19 1.178306531138198861e-18
4.813818852688468723e+03 1.144113315984848798e-18 1.399662833441995324e-18
4.818824780621524042e+03 8.331431469074261858e-20 1.306029728155273401e-18
4.823830708554580269e+03 1.800128637602774217e-19 9.974361548786324394e-19
4.828836636487635587e+03 -9.082992631852815491e-19 7.641858571497821688e-19
4.833842564420691815e+03 -4.529077451866761938e-19 5.762745276269403280e-19
4.838848492353747133e+03 5.267267648957736024e-19 4.870195166391338688e-19
4.843854420286802451e+03 1.116617752579487237e-18 5.196182322107545634e-19
4.848860348219858679e+03 1.627335228900920087e-18 4.929161235818934062e-19
4.853866276152913997e+03 4.892626574905149256e-19 4.233650446402425586e-19
4.858872204085970225e+03 5.566048099924140295e-19 4.021430227939873793e-19
4.863878132019025543e+03 2.693512378517193915e-19 3.776651539245772822e-19
4.868884059952080861e+03 8.229027797254925092e-19 3.377462146447532224e-19
4.873889987885137089e+03 7.182958051589671952e-19 3.650212786983001666e-19
4.878895915818192407e+03 6.865581295283042624e-19 4.305483806605375972e-19
4.883901843751248634e+03 2.192159238893892404e-20 4.056445659727314707e-19
4.888907771684303952e+03 5.022826965675823723e-19 3.066714466735914404e-19
4.893913699617360180e+03 6.053035930158553378e-19 2.761072859309594669e-19
4.898919627550415498e+03 9.922281178784956306e-20 2.802053820518858843e-19
4.903925555483470816e+03 1.582964737930744718e-19 2.595335201269417294e-19
4.908931483416527044e+03 2.081504177910564163e-19 2.223829563934141303e-19
4.913937411349582362e+03 1.527573819923029007e-19 2.298765092047975585e-19
4.918943339282638590e+03 7.393717654219160117e-19 2.500597136665097830e-19
4.923949267215693908e+03 4.074066239405679762e-19 2.304353487600400811e-19
4.928955195148750136e+03 5.441307374532167202e-20 1.824233287388691160e-19
4.933961123081805454e+03 5.417156927136132325e-19 1.671590563533442368e-19
4.938967051014860772e+03 2.581492918357067339e-19 1.686760256755985207e-19
4.943972978947916999e+03 3.817671294530432338e-19 1.787020274452867374e-19
4.948978906880972318e+03 4.133334716715108587e-19 1.785754307752385353e-19
4.953984834814028545e+03 3.425306716337723950e-19 1.680267246796617556e-19
4.958990762747083863e+03 2.930914308079234065e-19 1.807152076182869298e-19
4.963996690680139181e+03 6.570752270659898226e-19 1.951947360733633370e-19
4.969002618613195409e+03 3.928899866542135754e-19 1.844867004609744263e-19
4.974008546546250727e+03 6.342673707521122026e-19 1.631928712096350190e-19
4.979014474479306955e+03 2.426628755945465512e-19 1.559724805612126190e-19
4.984020402412362273e+03 3.675640428228107763e-19 1.512567561835839390e-19
4.989026330345418501e+03 4.254120214670574884e-19 1.408899829484507720e-19
4.994032258278473819e+03 2.937520775390322017e-19 1.461309953773422822e-19
4.999038186211529137e+03 2.094003685161022379e-19 1.507705308609090807e-19
5.004044114144585365e+03 4.488378713538063863e-19 1.401953782746540410e-19
5.009050042077640683e+03 3.910902815652892341e-19 1.225460077847294973e-19
5.014055970010696910e+03 4.273022055967408874e-19 1.170566021088490835e-19
5.019061897943752228e+03 5.782027432051677193e-19 1.141833085906706717e-19
5.024067825876807547e+03 4.280464736412998287e-19 1.082281578937494113e-19
5.029073753809863774e+03 3.057121229917928761e-19 1.043631907780718770e-19
5.034079681742919092e+03 4.485369113295628074e-19 1.014880906800808470e-19
5.039085609675975320e+03 3.849965081741900822e-19 9.827788320946192042e-20
5.044091537609030638e+03 3.634260785517989142e-19 9.610437827907583607e-20
5.049097465542086866e+03 3.556702551161994292e-19 9.430641462923642249e-20
5.054103393475142184e+03 1.783296799160369020e-19 9.374099099440054167e-20
5.059109321408197502e+03 3.913471292144375777e-19 9.287339266483928058e-20
5.064115249341253730e+03 3.442503726779700891e-19 9.756189111354565104e-20
5.069121177274309048e+03 3.055931811726504763e-19 1.173551312718121429e-19
5.074127105207365275e+03 2.510768027859053873e-19 1.212217887224669519e-19
5.079133033140420594e+03 3.965184421210120036e-19 1.043392310766266229e-19
5.084138961073476821e+03 4.079169212445860815e-19 9.268128126189023217e-20
5.089144889006532139e+03 2.901739700765303766e-19 8.487001386417500106e-20
5.094150816939587457e+03 4.786494900980302402e-19 8.297401100434184410e-20
5.099156744872643685e+03 5.105631095916261733e-19 7.947837031121277700e-20
5.104162672805699003e+03 4.746937126934551105e-19 7.976744002072774143e-20
5.109168600738755231e+03 5.348746866197351076e-19 8.137097079572490454e-20
5.114174528671810549e+03 4.664395544669197416e-19 8.235109122920206427e-20
5.119180456604865867e+03 2.513247418038035325e-19 8.291610901282275048e-20
5.124186384537922095e+03 3.722373539663634307e-19 8.178670653730761655e-20
5.129192312470977413e+03 5.083127978157232842e-19 8.023895918369151058e-20
5.134198240404033641e+03 4.655431009092058903e-19 7.820984983766876460e-20
5.139204168337088959e+03 3.189342127085974427e-19 7.590450538662469631e-20
5.144210096270145186e+03 2.919477349783291773e-19 7.391892309280964847e-20
5.149216024203200504e+03 3.280988459465977768e-19 7.276776518914935588e-20
5.154221952136255823e+03 3.510282583796621378e-19 6.961767755121078973e-20
5.159227880069312050e+03 2.417037653555169473e-19 6.465164999982629293e-20
5.164233808002367368e+03 8.987524696854049938e-20 5.873763282702370985e-20
5.169239735935423596e+03 1.313933450528455097e-19 5.553645835546996910e-20
5.174245663868478914e+03 2.089048246605939587e-19 5.513690526718000389e-20
5.179251591801534232e+03 4.164772344955093125e-19 5.501079441266129689e-20
5.184257519734590460e+03 3.343149579903608477e-19 5.559208057351137383e-20
5.189263447667645778e+03 3.851828509993821927e-19 5.642999521771330211e-20
5.194269375600702006e+03 4.437189651428751838e-19 5.827991721099092252e-20
5.199275303533757324e+03 4.624014874856903663e-19 5.968774859815598355e-20
5.204281231466813551e+03 3.337712675749868315e-19 5.963587235810072838e-20
5.209287159399868870e+03 3.811823370876649624e-19 5.958050564907204155e-20
5.214293087332924188e+03 4.565711217974366537e-19 6.077850027630907247e-20
5.219299015265980415e+03 4.445597439582441660e-19 6.093554227613253183e-20
5.224304943199035733e+03 3.115388619155266063e-19 6.046949968271540194e-20
5.229310871132091961e+03 4.327421466374483907e-19 6.008936739589316710e-20
5.234316799065147279e+03 3.465894936961977460e-19 6.006455588677272832e-20
5.239322726998203507e+03 4.633290468207909665e-19 5.988912573311274760e-20
5.244328654931258825e+03 4.727002809753582525e-19 5.923706753883681590e-20
5.249334582864314143e+03 3.987965659147551533e-19 5.883164561664858069e-20
5.254340510797370371e+03 2.162483063155736378e-19 5.767065236125695469e-20
5.259346438730425689e+03 2.678959010347700290e-19 5.486252304077980154e-20
5.264352366663481916e+03 3.169207228913767725e-19 5.220601851561842512e-20
5.269358294596537235e+03 4.467380352894411986e-19 5.051872388106907705e-20
5.274364222529593462e+03 3.817402075060192543e-19 5.074229234105157506e-20
5.279370150462648780e+03 3.791578795052352610e-19 5.092691742030399093e-20
5.284376078395704099e+03 3.183070353960039033e-19 5.209062895757937637e-20
5.289382006328760326e+03 2.749348326754269344e-19 5.399652790654561271e-20
5.294387934261815644e+03 2.334229217279168271e-19 5.325879377205665263e-20
5.299393862194871872e+03 3.039513970297983288e-19 5.308038419263543415e-20
5.304399790127927190e+03 3.296523949529302493e-19 5.364307412905291665e-20
5.309405718060982508e+03 4.200072711118558424e-19 5.361446489609432841e-20
5.314411645994038736e+03 3.435525238881994829e-19 5.250515043647605542e-20
5.319417573927094054e+03 4.676046681608847651e-19 5.095990556636098628e-20
5.324423501860150282e+03 3.618529373932523816e-19 4.966737361757144912e-20
5.329429429793205600e+03 2.891821897983506291e-19 4.912047953466239471e-20
5.334435357726260918e+03 3.795360155255487807e-19 4.889182648105209471e-20
5.339441285659317145e+03 3.305183187448772544e-19 4.834548746532160986e-20
5.344447213592372464e+03 4.198154943082840825e-19 4.848690803811600451e-20
5.349453141525428691e+03 2.922799069699637598e-19 4.870772227149310954e-20
5.354459069458484009e+03 3.198717334727366159e-19 4.930557020495031277e-20
5.359464997391540237e+03 4.581428583171099270e-19 4.955095140991499786e-20
5.364470925324595555e+03 3.912788256301567039e-19 4.972220316799042853e-20
5.369476853257650873e+03 3.578383588787969217e-19 5.052380652062291714e-20
5.374482781190707101e+03 4.423053931559897640e-19 5.198800984974905969e-20
5.379488709123762419e+03 4.296555600349028302e-19 5.271587389754161913e-20
