#  wl flam flam_err
4.803806996822357178e+03 -5.298539767477636546e-21 0.000000000000000000e+00
4.808812924755412496e+03 -8.464163416620550324e-21 2.123016035326399017e-19
4.813818852688468723e+03 -1.844709002190586742e-20 2.057269182869120992e-19
4.818824780621524042e+03 -1.385721889004990219e-20 1.872635201931418625e-19
4.823830708554580269e+03 -6.754374392213534088e-20 1.744522214929220794e-19
4.828836636487635587e+03 -4.808225485521160044e-20 1.561757690399925529e-19
4.833842564420691815e+03 6.503339736424837948e-20 1.371217079456690700e-19
4.838848492353747133e+03 -6.995820759331412398e-20 1.254517908957240116e-19
4.843854420286802451e+03 1.536419949457373559e-20 1.345791015368544108e-19
4.848860348219858679e+03 -5.246695664348691733e-20 1.358717364527026512e-19
4.853866276152913997e+03 -1.002393075206158598e-19 1.177582699758457741e-19
4.858872204085970225e+03 1.556327490197029065e-21 1.165431959331426056e-19
4.863878132019025543e+03 2.758548011233051768e-21 1.645510912546763481e-19
4.868884059952080861e+03 1.122447542676202383e-19 1.557269118711957936e-19
4.873889987885137089e+03 7.332860351080807260e-20 1.542966329070585515e-19
4.878895915818192407e+03 -2.669534085732381165e-20 1.566531073545569205e-19
4.883901843751248634e+03 -1.037805892524126594e-20 1.526902103610907520e-19
4.888907771684303952e+03 2.041114688050775490e-19 1.445486835617650167e-19
4.893913699617360180e+03 -1.502129438236269738e-20 1.347215850462406861e-19
4.898919627550415498e+03 -3.710644894846695674e-20 1.271453210041450589e-19
4.903925555483470816e+03 -6.089291430691690857e-20 1.222570056089486738e-19
4.908931483416527044e+03 1.832691115837819149e-19 1.158177897284215132e-19
4.913937411349582362e+03 1.495352367092911936e-19 1.022202512111344738e-19
4.918943339282638590e+03 6.161693842568467345e-20 9.439453644039605563e-20
4.923949267215693908e+03 7.193721163731953203e-20 9.235751908940156597e-20
4.928955195148750136e+03 1.253289505385846266e-19 9.120688976213925776e-20
4.933961123081805454e+03 3.424840085013866304e-20 8.939401275052575194e-20
4.938967051014860772e+03 -1.160886803442028710e-20 8.676184005687845792e-20
4.943972978947916999e+03 3.016903035421280396e-20 8.477888506550544282e-20
4.948978906880972318e+03 4.235800322433714235e-20 8.414668567863000114e-20
4.953984834814028545e+03 6.278001841973852126e-20 8.310113177047133334e-20
4.958990762747083863e+03 7.174790712648844027e-20 8.181415799499157612e-20
4.963996690680139181e+03 1.028665158002041169e-20 8.057102775824888146e-20
4.969002618613195409e+03 -1.234839805815697657e-21 7.988327439436250359e-20
4.974008546546250727e+03 8.211185026710469890e-20 7.884623072171245836e-20
4.979014474479306955e+03 8.817165048558839599e-20 7.407650314711780718e-20
4.984020402412362273e+03 2.197197045518219892e-20 7.226934987312236992e-20
4.989026330345418501e+03 1.301065527440335483e-19 7.182421472964176157e-20
4.994032258278473819e+03 6.240039738051318549e-20 7.206090899339788334e-20
4.999038186211529137e+03 7.555634231632714568e-20 6.986995025374020279e-20
5.004044114144585365e+03 -3.454226527263319315e-20 6.700597591042503580e-20
5.009050042077640683e+03 4.058947737158169238e-20 6.399415554876135417e-20
5.014055970010696910e+03 1.349928127063586007e-19 6.047475392947482853e-20
5.019061897943752228e+03 9.137610901420219458e-20 5.908998555036397982e-20
5.024067825876807547e+03 3.874038211164301212e-20 6.058261406835486383e-20
5.029073753809863774e+03 1.997731807665954398e-20 6.174166181568656295e-20
5.034079681742919092e+03 3.621566876546943231e-20 6.037882041259289718e-20
5.039085609675975320e+03 -1.463349895808463046e-20 5.841711026951971088e-20
5.044091537609030638e+03 2.642901438796999389e-20 5.743875575176443744e-20
5.049097465542086866e+03 8.725152982794009940e-20 5.635327264757608555e-20
5.054103393475142184e+03 1.269331033752030120e-20 5.466234334234218943e-20
5.059109321408197502e+03 3.605714461276459563e-20 5.306399857248856186e-20
5.064115249341253730e+03 5.187142930835585041e-20 5.187343368043812418e-20
5.069121177274309048e+03 5.002634044114397946e-20 5.098784877684530875e-20
5.074127105207365275e+03 5.771707538431674951e-20 4.958216973783775293e-20
5.079133033140420594e+03 -8.298188546243987356e-21 4.723889759155058983e-20
5.084138961073476821e+03 2.934240295417127607e-20 4.769806661783863377e-20
5.089144889006532139e+03 -1.391755970906408307e-20 4.809553306797706189e-20
5.094150816939587457e+03 3.291163627205194869e-20 4.913221807792230118e-20
5.099156744872643685e+03 3.598698554695599819e-20 4.828857887065362926e-20
5.104162672805699003e+03 1.289710897386499331e-20 4.932103655595296993e-20
5.109168600738755231e+03 7.601765830012615208e-21 5.048649290693733722e-20
5.114174528671810549e+03 9.978423708170131374e-21 5.226680485707307665e-20
5.119180456604865867e+03 1.022141754604931498e-20 5.396325324683648269e-20
5.124186384537922095e+03 3.840018239019120818e-20 5.410533328563322735e-20
5.129192312470977413e+03 7.131418766090398370e-21 5.342737941602218651e-20
5.134198240404033641e+03 -1.259539422072003618e-20 5.278441684215130406e-20
5.139204168337088959e+03 1.492896891387559027e-19 5.207788936810261960e-20
5.144210096270145186e+03 9.021636951650933862e-20 5.146196694524573363e-20
5.149216024203200504e+03 9.569432251845262656e-20 5.036108489051905734e-20
5.154221952136255823e+03 6.013495632273256648e-20 4.793484124427155948e-20
5.159227880069312050e+03 6.789291963418621929e-20 4.457541398011506222e-20
5.164233808002367368e+03 3.614993945437773203e-20 4.112975024252993572e-20
5.169239735935423596e+03 8.128781896039044876e-20 4.039732743424300244e-20
5.174245663868478914e+03 7.140076910536325184e-20 4.158903088447119677e-20
5.179251591801534232e+03 5.036289428328012071e-20 4.078008779635043858e-20
5.184257519734590460e+03 2.607743545150499406e-20 3.938714262828864251e-20
5.189263447667645778e+03 9.517048115161716761e-21 3.973653915650135527e-20
5.194269375600702006e+03 7.052164076239390127e-20 4.106788446145441108e-20
5.199275303533757324e+03 4.735511727833589059e-20 4.222787434287646278e-20
5.204281231466813551e+03 5.914978981162897573e-21 4.235782848248198992e-20
5.209287159399868870e+03 4.805056933651533680e-20 4.218826455109962494e-20
5.214293087332924188e+03 4.787056795468957255e-20 4.307541991328739294e-20
5.219299015265980415e+03 4.175179357770880721e-20 4.438997015042426023e-20
5.224304943199035733e+03 1.473575169727129994e-19 4.626261279968628173e-20
5.229310871132091961e+03 7.084831820041249017e-20 4.847632435268262880e-20
5.234316799065147279e+03 8.923038008760269778e-21 5.310436631081059646e-20
5.239322726998203507e+03 1.439329971639434828e-19 6.217383839134232451e-20
5.244328654931258825e+03 9.763355868897680722e-20 7.213851094787020771e-20
5.249334582864314143e+03 7.714142984401913929e-20 8.588919435979477098e-20
5.254340510797370371e+03 8.683536705508319216e-20 1.103197508105731316e-19
5.259346438730425689e+03 3.544996158878940438e-20 1.273364271762455508e-19
5.264352366663481916e+03 4.114583921590883564e-20 1.447922266325519897e-19
5.269358294596537235e+03 4.634777669024377598e-20 1.845153697154242538e-19
5.274364222529593462e+03 4.499588825625278912e-20 2.689985031833346822e-19
5.279370150462648780e+03 4.364363740053497764e-20 3.192119244480511063e-19
5.284376078395704099e+03 4.229102480210478515e-20 3.750768219142517299e-19
5.289382006328760326e+03 4.093805492929254088e-20 3.983701089258669384e-19
5.294387934261815644e+03 3.958473590198532680e-20 3.964640305230574093e-19
5.299393862194871872e+03 3.823107935113152577e-20 2.735615574210482614e-19
5.304399790127927190e+03 3.687710028376380881e-20 1.477313034133347779e-19
5.309405718060982508e+03 8.949281264894929545e-21 6.144422545908640161e-20
5.314411645994038736e+03 -2.440356530602096312e-20 4.547510719465030417e-20
5.319417573927094054e+03 5.188127076481027589e-22 4.120788615130802754e-20
5.324423501860150282e+03 2.736294752521162493e-20 3.888321440848801550e-20
5.329429429793205600e+03 2.453675771540864169e-20 3.763434620366923306e-20
5.334435357726260918e+03 2.397181894523159423e-20 3.670356263299680436e-20
5.339441285659317145e+03 1.469141806699611135e-20 3.580198050254379816e-20
5.344447213592372464e+03 4.136520107541938213e-20 3.524957587467612160e-20
5.349453141525428691e+03 7.026604356708885828e-20 3.527739793670632885e-20
5.354459069458484009e+03 2.143658169092420505e-20 3.533446134732834936e-20
5.359464997391540237e+03 1.404889779151284541e-19 3.530587801424098049e-20
5.364470925324595555e+03 8.828923852692905650e-20 3.521261915424797557e-20
5.369476853257650873e+03 8.486670409752603568e-21 3.539851208239741143e-20
5.374482781190707101e+03 3.882506335593429892e-20 3.613189272094968771e-20
5.379488709123762419e+03 -6.279715549257835627e-21 3.666642441816922271e-20
5.384494637056818647e+03 1.060178711159847413e-19 3.641861028268639100e-20
5.389500564989873965e+03 6.146898007186758796e-20 3.568732336828143123e-20
5.394506492922930192e+03 2.456589265937412409e-20 3.440637023701188438e-20
5.399512420855985511e+03 4.589429469647462820e-20 3.332823204768572878e-20
