#  wl flam flam_err
4.803806996822357178e+03 -9.706637042434951690e-19 2.366562051598750718e-18
4.808812924755412496e+03 -8.987686858612616088e-19 2.138138813686521367e-18
4.813818852688468723e+03 -8.426497205568819479e-19 1.921319392084943327e-18
4.818824780621524042e+03 -1.857041704750057366e-19 1.755620946971794927e-18
4.823830708554580269e+03 -2.662265469206379855e-19 1.627776973872073225e-18
4.828836636487635587e+03 1.502247914935439986e-19 1.521511783282499188e-18
4.833842564420691815e+03 3.841640135516811049e-19 1.406128892035770891e-18
4.838848492353747133e+03 1.951666052617433728e-19 1.274493911205470302e-18
4.843854420286802451e+03 -8.290755596979454299e-19 1.146224158204684963e-18
4.848860348219858679e+03 -2.267946288211834683e-18 1.028806124251351898e-18
4.853866276152913997e+03 -5.617560209395790212e-19 9.405501332172377119e-19
4.858872204085970225e+03 -1.188631807814100499e-18 8.860059404032404312e-19
4.863878132019025543e+03 -1.407298260121377677e-18 8.558551356993583566e-19
4.868884059952080861e+03 1.209550067686315867e-18 8.136222270365808414e-19
4.873889987885137089e+03 6.740824624411001994e-19 7.547787806108595678e-19
4.878895915818192407e+03 -1.197796605797504323e-18 6.822479347345599043e-19
4.883901843751248634e+03 2.905685882265683510e-19 6.255096036550145150e-19
4.888907771684303952e+03 1.959709210101270922e-19 5.811465033076540621e-19
4.893913699617360180e+03 5.058660473491376909e-19 5.489730166301257276e-19
4.898919627550415498e+03 7.417561492063740778e-19 5.339976816514585126e-19
4.903925555483470816e+03 8.167590981096295339e-19 5.099477766717085189e-19
4.908931483416527044e+03 8.279406525065206440e-20 4.873142597783286007e-19
4.913937411349582362e+03 -1.284205184206447117e-19 4.579705647040233594e-19
4.918943339282638590e+03 9.462514049420549050e-20 4.277314554995583999e-19
4.923949267215693908e+03 1.692013508286795826e-19 4.065268429624285578e-19
4.928955195148750136e+03 -3.936630323124920623e-20 3.913496128655429267e-19
4.933961123081805454e+03 8.670944419996050483e-21 3.731169136285623687e-19
4.938967051014860772e+03 -1.630527287484079306e-19 3.928116490179789191e-19
4.943972978947916999e+03 -1.377021745098994981e-20 3.904129276025750452e-19
4.948978906880972318e+03 5.996744185988294283e-20 3.852982120005576482e-19
4.953984834814028545e+03 4.681186966004398400e-20 3.727730331072959393e-19
4.958990762747083863e+03 -2.921749101552767066e-19 3.667315311108688048e-19
4.963996690680139181e+03 2.870166786284728446e-19 3.631883261065686643e-19
4.969002618613195409e+03 -6.732367648662057445e-19 3.657447314297479951e-19
4.974008546546250727e+03 2.803709396585857005e-19 3.674057085616745136e-19
4.979014474479306955e+03 -3.191682637230904151e-19 3.617782564572917651e-19
4.984020402412362273e+03 1.297374071720525460e-19 3.466314614996536120e-19
4.989026330345418501e+03 -4.037886098182328148e-19 3.298623093118403465e-19
4.994032258278473819e+03 -3.637402874723633207e-20 3.115390535803420750e-19
4.999038186211529137e+03 6.326592195653161882e-19 2.890332132832899078e-19
5.004044114144585365e+03 -1.251831371728785840e-19 2.701973140669749070e-19
5.009050042077640683e+03 1.937483269649960741e-19 2.600887238238986325e-19
5.014055970010696910e+03 -1.327052841062433658e-20 2.555931677650147487e-19
5.019061897943752228e+03 2.663900234263346900e-19 2.519903893786152101e-19
5.024067825876807547e+03 -7.351654153423100273e-20 2.480617086418666674e-19
5.029073753809863774e+03 5.413168574901679454e-19 2.428387573831821777e-19
5.034079681742919092e+03 1.737432551982579341e-20 2.363123288590068780e-19
5.039085609675975320e+03 1.759291225499819534e-19 2.329826681997737353e-19
5.044091537609030638e+03 2.679114326337895825e-19 2.343809526536939947e-19
5.049097465542086866e+03 4.650031402254441190e-20 2.377770871113065401e-19
