#  wl flam flam_err
4.803806996822357178e+03 -1.621691181321982448e-18 2.003306272440324801e-18
4.808812924755412496e+03 7.004970202843276724e-19 1.803440970902884371e-18
4.813818852688468723e+03 3.550228824926374623e-19 1.610477009600120094e-18
4.818824780621524042e+03 -4.725711171898089711e-19 1.416017523536679826e-18
4.823830708554580269e+03 1.006030670696498340e-18 1.237154596079933637e-18
4.828836636487635587e+03 8.408759155613204210e-19 1.097533992777403232e-18
4.833842564420691815e+03 -8.882024709645114014e-19 9.883747862803199641e-19
4.838848492353747133e+03 6.579999398732791893e-19 8.966800268862246450e-19
4.843854420286802451e+03 4.393540013556206499e-19 8.176612346456433445e-19
4.848860348219858679e+03 8.266292511631921292e-19 7.424690553110217674e-19
4.853866276152913997e+03 -7.383262683611373627e-20 6.726824979356807828e-19
4.858872204085970225e+03 5.157700306528353040e-19 6.231326345189121602e-19
4.863878132019025543e+03 -3.115508644490270620e-20 5.905682949540936589e-19
4.868884059952080861e+03 6.512455222726570850e-19 5.703046366543675619e-19
4.873889987885137089e+03 4.609844168337039441e-19 5.512586213659914664e-19
4.878895915818192407e+03 1.430778300325928030e-19 5.249109323287502663e-19
4.883901843751248634e+03 -7.393096836201711553e-19 4.932879998703946308e-19
4.888907771684303952e+03 6.766674642812444035e-19 4.554032443279456004e-19
4.893913699617360180e+03 -2.077554347431192206e-20 4.251816850807094373e-19
4.898919627550415498e+03 -1.499138804530707282e-20 4.028379095520483637e-19
4.903925555483470816e+03 -1.531511072672269688e-19 3.829417397714871135e-19
4.908931483416527044e+03 4.318149270905080822e-19 3.685431647943598631e-19
4.913937411349582362e+03 3.414890002189500194e-19 3.553766821126294570e-19
4.918943339282638590e+03 -6.186848450484576236e-20 3.417059850063287153e-19
4.923949267215693908e+03 8.787041341459548010e-20 3.289273239948193616e-19
4.928955195148750136e+03 2.755273005614111884e-20 3.177255264811703511e-19
4.933961123081805454e+03 9.189640048033406684e-20 3.023523427184223629e-19
4.938967051014860772e+03 -1.371407465504213934e-19 2.881821137302362313e-19
4.943972978947916999e+03 -2.278241001336311936e-19 2.752361527305591415e-19
4.948978906880972318e+03 2.474324935290967268e-19 2.647765218812333073e-19
4.953984834814028545e+03 6.886015601226823885e-20 2.550148937834887250e-19
4.958990762747083863e+03 3.824453879359229449e-21 2.483899562743929574e-19
4.963996690680139181e+03 7.909829266496051384e-20 2.451239529362779622e-19
4.969002618613195409e+03 -7.819510334958638469e-20 2.451188842810852242e-19
4.974008546546250727e+03 -3.816099230064413398e-20 2.422717337185145267e-19
4.979014474479306955e+03 2.379073062930812400e-19 2.415218904730993079e-19
4.984020402412362273e+03 4.213073089652165668e-19 2.394163784073107702e-19
4.989026330345418501e+03 2.536671019917386386e-19 2.375582350041859437e-19
4.994032258278473819e+03 2.358958852965426261e-20 2.340302906111005209e-19
4.999038186211529137e+03 -1.415071605854591165e-19 2.247334250345725043e-19
5.004044114144585365e+03 1.610738609281762485e-19 2.126125571893222645e-19
5.009050042077640683e+03 2.740079264873428469e-19 1.993250610478726697e-19
5.014055970010696910e+03 -1.253034081037438442e-19 1.880496281069015899e-19
