#  wl flam flam_err
4.803806996822357178e+03 -9.270425215853374936e-19 1.946343018961487117e-18
4.808812924755412496e+03 -3.165362703334926324e-19 1.762964520531561230e-18
4.813818852688468723e+03 7.374480289106042133e-19 1.634554661034992774e-18
4.818824780621524042e+03 1.308285022406034016e-18 1.530318682855503692e-18
4.823830708554580269e+03 1.635387848836452716e-18 1.402725032618746872e-18
4.828836636487635587e+03 3.673164849024377557e-19 1.274772088935520117e-18
4.833842564420691815e+03 7.399951244768247730e-19 1.148165366498428245e-18
4.838848492353747133e+03 2.390210439583992757e-19 1.049993504094854945e-18
4.843854420286802451e+03 -2.770345276206989802e-19 9.661348424368867997e-19
4.848860348219858679e+03 3.419421494818760112e-19 8.849952398438833819e-19
4.853866276152913997e+03 -2.587915480137151145e-19 8.082899180583433660e-19
4.858872204085970225e+03 4.787832738817668497e-19 7.519678455509668243e-19
4.863878132019025543e+03 -9.767428712289373356e-19 7.188552238752978991e-19
4.868884059952080861e+03 -6.233646436910542232e-19 6.731963929597224061e-19
4.873889987885137089e+03 -8.366675268459053917e-20 6.191748900220212837e-19
4.878895915818192407e+03 4.313525433620959856e-19 5.659623904410574202e-19
4.883901843751248634e+03 1.694842656256828759e-20 5.254513924624945005e-19
4.888907771684303952e+03 3.256095863694503630e-19 5.003881786501334468e-19
4.893913699617360180e+03 3.266379908727090211e-19 4.777407727364589822e-19
4.898919627550415498e+03 6.968105002016887991e-20 4.470020354156291503e-19
4.903925555483470816e+03 -2.837559834545762426e-19 4.177044294848589877e-19
4.908931483416527044e+03 3.492965806084216647e-19 3.920527010975717374e-19
4.913937411349582362e+03 4.240767835051747381e-19 3.793976553127573800e-19
4.918943339282638590e+03 5.023741204976471976e-19 3.690909132840008321e-19
4.923949267215693908e+03 6.406508276316566417e-20 3.552757262037816012e-19
4.928955195148750136e+03 4.117120392760737523e-20 3.368159048832671825e-19
4.933961123081805454e+03 6.675414114102333139e-20 3.227746825296417176e-19
4.938967051014860772e+03 1.992800880815657571e-19 3.188762606378960364e-19
4.943972978947916999e+03 -5.832391545525454645e-20 3.188603572313163901e-19
4.948978906880972318e+03 2.264653968573681653e-19 3.202060013151632448e-19
4.953984834814028545e+03 3.310769378733709925e-19 3.144678305334903515e-19
4.958990762747083863e+03 -3.133001351957578947e-19 3.084536718738211355e-19
4.963996690680139181e+03 5.347735237579966474e-19 3.075060079888935331e-19
4.969002618613195409e+03 5.317733206515827135e-19 3.096332782049515028e-19
4.974008546546250727e+03 1.829035925652054138e-19 3.093146457230816003e-19
4.979014474479306955e+03 -1.527403655279407674e-19 2.982928151774158463e-19
4.984020402412362273e+03 -4.782064196952814484e-20 2.818215474417487649e-19
4.989026330345418501e+03 -1.152373855425628309e-19 2.668767766642536459e-19
4.994032258278473819e+03 -2.799963337218659898e-19 2.591918029595089770e-19
4.999038186211529137e+03 1.839428507051169418e-19 2.489135764869570738e-19
5.004044114144585365e+03 -7.957695757774463882e-21 2.349445341635886339e-19
5.009050042077640683e+03 2.512976385081542905e-19 2.196659352412920318e-19
5.014055970010696910e+03 1.796243318457645656e-19 2.069544091081131641e-19
5.019061897943752228e+03 1.248125269294546347e-19 2.012069658722448580e-19
5.024067825876807547e+03 3.195921926086631535e-19 2.002562239905041295e-19
5.029073753809863774e+03 1.400601984005924274e-19 2.033939466262879115e-19
5.034079681742919092e+03 -1.432918165088687428e-20 2.022211388660268551e-19
5.039085609675975320e+03 7.811958642915955786e-20 1.993116650830884783e-19
5.044091537609030638e+03 4.363786298296903737e-20 1.955258788694124503e-19
