#  wl flam flam_err
4.803806996822357178e+03 -1.575521155827946068e-19 1.016662775683385370e-18
4.808812924755412496e+03 2.121365358729511454e-19 8.884378489963496791e-19
4.813818852688468723e+03 5.533937860485774085e-19 7.967331334302879929e-19
4.818824780621524042e+03 2.785074066941341269e-19 7.232951095824963118e-19
4.823830708554580269e+03 -2.791877333176520561e-19 6.599472228136984713e-19
4.828836636487635587e+03 5.325840585528899147e-19 5.945435399730377258e-19
4.833842564420691815e+03 -1.580054777618270675e-19 5.262627668994671399e-19
4.838848492353747133e+03 -3.332067391549140082e-19 4.690469641255149947e-19
4.843854420286802451e+03 -8.652479058348909246e-20 4.233662312587899693e-19
4.848860348219858679e+03 -5.631500435271127554e-19 3.853555991870429914e-19
4.853866276152913997e+03 -1.211447488626893415e-19 3.526061634068823847e-19
4.858872204085970225e+03 -5.005085828167409827e-20 3.222244085096941184e-19
4.863878132019025543e+03 -3.146880725766150666e-19 2.966630195297455912e-19
4.868884059952080861e+03 8.173074166694394031e-20 2.823823941300127497e-19
4.873889987885137089e+03 -7.474651292636974258e-20 2.738148362136404664e-19
4.878895915818192407e+03 2.490508362244772354e-19 2.725631329114773441e-19
4.883901843751248634e+03 1.952830039482702097e-19 2.661952987721224489e-19
4.888907771684303952e+03 -4.485358685300410312e-20 2.501066922421068323e-19
4.893913699617360180e+03 -8.138332267962126560e-20 2.292748613720864840e-19
4.898919627550415498e+03 5.464824827170521074e-21 2.102651331851280964e-19
4.903925555483470816e+03 3.936412592868143191e-21 1.976049530958535791e-19
4.908931483416527044e+03 4.627466109045106592e-21 1.907979944661111066e-19
4.913937411349582362e+03 8.688560340242470650e-21 1.861413220202779146e-19
4.918943339282638590e+03 1.220149256501604182e-19 1.791101292975523289e-19
4.923949267215693908e+03 -1.792590612907177940e-19 1.693752829117242749e-19
4.928955195148750136e+03 -1.698813863570257737e-19 1.583924167482969074e-19
4.933961123081805454e+03 -8.278647597186877857e-20 1.508418211599214387e-19
4.938967051014860772e+03 7.733672573325005272e-20 1.482398551891245419e-19
4.943972978947916999e+03 3.885217611825065290e-20 1.474903142536152793e-19
4.948978906880972318e+03 3.011617979998223167e-19 1.461766059596893742e-19
4.953984834814028545e+03 1.983199686837176648e-19 1.405255348687426081e-19
4.958990762747083863e+03 2.537804158518127459e-21 1.339087364307089630e-19
4.963996690680139181e+03 -4.757142233301166931e-20 1.296331044646780304e-19
4.969002618613195409e+03 1.030839702279176715e-19 1.279675991777866040e-19
4.974008546546250727e+03 -5.157175959039084435e-20 1.288233610865981581e-19
4.979014474479306955e+03 -3.641707674115706420e-20 1.288787517461717484e-19
