#  wl flam flam_err
4.803806996822357178e+03 1.180962658673359993e-21 6.214367670847119057e-19
4.808812924755412496e+03 -4.597945973840863149e-22 5.597023533879584313e-19
4.813818852688468723e+03 -2.782661611662040892e-21 4.989116543787765193e-19
4.818824780621524042e+03 -3.050516863170066166e-21 4.452564080493677488e-19
4.823830708554580269e+03 -2.915756234100606007e-21 3.982596345313452019e-19
4.828836636487635587e+03 -2.782424687218541991e-21 3.635585806935529757e-19
4.833842564420691815e+03 -2.650464985853411447e-21 3.306810773968518392e-19
4.838848492353747133e+03 -2.519821373626568260e-21 2.977791769643283306e-19
4.843854420286802451e+03 -2.390439553047204706e-21 2.684889536754789569e-19
4.848860348219858679e+03 -2.262266664149536278e-21 2.415989932907513246e-19
4.853866276152913997e+03 -2.135251263292933723e-21 2.191806228790363101e-19
4.858872204085970225e+03 -2.009343302136630103e-21 2.003660028999573094e-19
4.863878132019025543e+03 -1.884494106661675572e-21 1.877501849084419470e-19
4.868884059952080861e+03 -1.759723943539590998e-21 1.791828594098668600e-19
4.873889987885137089e+03 -1.636547820380733208e-21 1.768286369629904372e-19
4.878895915818192407e+03 -1.514614180587985990e-21 1.749307591390623687e-19
4.883901843751248634e+03 -1.393556610759088622e-21 1.675789286831881019e-19
4.888907771684303952e+03 -1.273333053835469493e-21 1.557366563559168873e-19
4.893913699617360180e+03 -1.153902703376564231e-21 1.450449515009289609e-19
4.898919627550415498e+03 -1.035225983607470172e-21 1.372141547124264893e-19
4.903925555483470816e+03 -9.172645295780783349e-22 1.311943828179199359e-19
4.908931483416527044e+03 -7.999811675266912796e-22 1.246329936079003038e-19
4.913937411349582362e+03 -6.833398953063150348e-22 1.176805437899203930e-19
4.918943339282638590e+03 -5.673058630031775499e-22 1.121532553587281268e-19
4.923949267215693908e+03 -4.518453536484600859e-22 1.083729156471967883e-19
4.928955195148750136e+03 -3.369257641095524547e-22 1.055267273806768091e-19
4.933961123081805454e+03 -2.225155860810426070e-22 1.016587169430804619e-19
4.938967051014860772e+03 -1.085843872368100240e-22 9.706293204942657859e-20
4.943972978947916999e+03 4.897207493489440048e-24 9.375478593872576116e-20
4.948978906880972318e+03 1.179575345041067495e-22 9.224952438164249471e-20
4.953984834814028545e+03 2.306239099584843098e-22 9.189533604529207955e-20
4.958990762747083863e+03 3.429226481018459575e-22 8.973654720081794826e-20
4.963996690680139181e+03 4.548790794240925653e-22 8.718412256637658187e-20
4.969002618613195409e+03 5.665175687068129671e-22 8.467508163684759016e-20
4.974008546546250727e+03 6.778615329072827519e-22 8.369337773958782997e-20
4.979014474479306955e+03 7.889334589374073899e-22 8.363510830729432234e-20
4.984020402412362273e+03 8.997549212566632187e-22 8.325858623271304643e-20
