#  wl flam flam_err
4.803806996822357178e+03 5.409701006711006423e-20 1.121390523392307814e-18
4.808812924755412496e+03 1.327738289248439025e-19 1.009930293398198339e-18
4.813818852688468723e+03 6.838526963852457921e-19 9.207451515934459412e-19
4.818824780621524042e+03 -9.446025326550382431e-19 8.430941581069445569e-19
4.823830708554580269e+03 -2.857930693445591744e-19 7.664709679712653382e-19
4.828836636487635587e+03 -1.890544223510338142e-19 6.670124772774968520e-19
4.833842564420691815e+03 5.010417132251992679e-21 5.805145105229846820e-19
4.838848492353747133e+03 9.930367640118681683e-21 5.364778924853580282e-19
4.843854420286802451e+03 -1.135662641663727077e-19 5.658638056973077256e-19
4.848860348219858679e+03 -1.915744336771568840e-19 5.597125073656234096e-19
4.853866276152913997e+03 1.666940746050276491e-19 4.822425743445439282e-19
4.858872204085970225e+03 -7.533909766723194721e-20 4.158495628633435435e-19
4.863878132019025543e+03 6.284029038249061270e-19 3.761294832851497010e-19
4.868884059952080861e+03 -1.704407574203250512e-19 3.557257410461284811e-19
4.873889987885137089e+03 2.856205354195087504e-19 3.541391640518811590e-19
4.878895915818192407e+03 1.767741530876814081e-19 3.588640603405691458e-19
4.883901843751248634e+03 6.185696620338947027e-19 3.453476030799630102e-19
4.888907771684303952e+03 8.054768310521769548e-19 3.279427827157104620e-19
4.893913699617360180e+03 6.819194848519895854e-19 3.085653631421818773e-19
4.898919627550415498e+03 6.003042752323360492e-19 2.904227575603230052e-19
4.903925555483470816e+03 9.118348252769153483e-19 2.736843680156147745e-19
4.908931483416527044e+03 3.162748649638728849e-19 2.565695676151297505e-19
4.913937411349582362e+03 2.869928688065962242e-19 2.269795459035288401e-19
4.918943339282638590e+03 4.032869068374803658e-19 2.128759499904965633e-19
4.923949267215693908e+03 4.167965764925202733e-19 2.071457508548630742e-19
4.928955195148750136e+03 3.704730106323148133e-19 2.014224399997329831e-19
4.933961123081805454e+03 3.214643850831889811e-19 1.952486260785090478e-19
4.938967051014860772e+03 4.946748268756057583e-19 1.896580636328744125e-19
4.943972978947916999e+03 4.346284890859123864e-19 1.854772170247325225e-19
4.948978906880972318e+03 2.911777745787842205e-19 1.826328480254436912e-19
4.953984834814028545e+03 7.154837051022328213e-20 1.805891544877063067e-19
4.958990762747083863e+03 1.508623860151506774e-19 1.782877535689769943e-19
4.963996690680139181e+03 3.728601696081421506e-19 1.758465548628006438e-19
4.969002618613195409e+03 2.946949990607587719e-19 1.737548196457388727e-19
4.974008546546250727e+03 5.417948530117758617e-19 1.697609812640112799e-19
4.979014474479306955e+03 3.863292371807621232e-19 1.591912271224873856e-19
4.984020402412362273e+03 2.931387833481303679e-19 1.563790259933823349e-19
4.989026330345418501e+03 2.800148807430001348e-19 1.550496535812784968e-19
4.994032258278473819e+03 4.440935290315667870e-19 1.538310536758064204e-19
4.999038186211529137e+03 5.827397961003461865e-19 1.472997996772511620e-19
5.004044114144585365e+03 4.525372717265655546e-19 1.399382265404225893e-19
5.009050042077640683e+03 3.272473086916045889e-19 1.353703110722776480e-19
5.014055970010696910e+03 3.992611128374717680e-19 1.287909071459373625e-19
5.019061897943752228e+03 3.624727288925531557e-19 1.250843702280060723e-19
5.024067825876807547e+03 3.880529206579093145e-19 1.275057118532446007e-19
5.029073753809863774e+03 6.265813181929720474e-19 1.298009179737655339e-19
5.034079681742919092e+03 3.969361885859957238e-19 1.276796164857059081e-19
5.039085609675975320e+03 3.500844038250074643e-19 1.245323668110342324e-19
5.044091537609030638e+03 4.345281224045189896e-19 1.221515423050488999e-19
5.049097465542086866e+03 5.488156788738841619e-19 1.194894609281071676e-19
5.054103393475142184e+03 5.404815014681024157e-19 1.161187084649842081e-19
5.059109321408197502e+03 2.469584134702821854e-19 1.128215958961936568e-19
5.064115249341253730e+03 2.361185688577726377e-19 1.091260494424834798e-19
5.069121177274309048e+03 3.588752254438039903e-19 1.057629486744367815e-19
5.074127105207365275e+03 2.193465332076468525e-19 1.022075312399158358e-19
5.079133033140420594e+03 4.464170670067309966e-19 9.895477347746645646e-20
5.084138961073476821e+03 2.606344309918189303e-19 1.003345805091380634e-19
5.089144889006532139e+03 4.302022257983176381e-19 1.002766533332030335e-19
5.094150816939587457e+03 4.116912940153979774e-19 1.005511625713521844e-19
5.099156744872643685e+03 3.444663399338195417e-19 9.832451077054793659e-20
5.104162672805699003e+03 3.041522257823872166e-19 1.007919080717994775e-19
5.109168600738755231e+03 4.529414146306144072e-19 1.042893596209782824e-19
5.114174528671810549e+03 2.316352165728540451e-19 1.074157951666418983e-19
5.119180456604865867e+03 1.414601989602333860e-19 1.090924367006857923e-19
5.124186384537922095e+03 3.262318609547548042e-20 1.082535921669722982e-19
5.129192312470977413e+03 2.185302619625588496e-19 1.051283694779580159e-19
5.134198240404033641e+03 1.137998985278857336e-19 1.017458177627462538e-19
5.139204168337088959e+03 5.672092078570869232e-19 9.906907091325962159e-20
5.144210096270145186e+03 4.681319638380709842e-19 9.657941834778124241e-20
5.149216024203200504e+03 5.091540673832542526e-19 9.457031642019607143e-20
5.154221952136255823e+03 4.640947950551295851e-19 9.054654779688140513e-20
5.159227880069312050e+03 4.699713873329251618e-19 8.414944883397323415e-20
5.164233808002367368e+03 3.619049807310773019e-19 7.694288389266342914e-20
5.169239735935423596e+03 4.143003695798523170e-19 7.269310340474983247e-20
5.174245663868478914e+03 3.767106659771288693e-19 7.233012726214782365e-20
5.179251591801534232e+03 3.952365320559883968e-19 7.266696838023145539e-20
5.184257519734590460e+03 4.054672056281974308e-19 7.356679082648741397e-20
5.189263447667645778e+03 3.604806081482084169e-19 7.490570622689209477e-20
