#  wl flam flam_err
4.803806996822357178e+03 3.300400514246582468e-21 1.657256214392955764e-19
4.808812924755412496e+03 3.285038742093854973e-21 1.600529194787378241e-19
4.813818852688468723e+03 3.270146236006399198e-21 1.536379285229930109e-19
4.818824780621524042e+03 3.255713370844837569e-21 1.484776750449723443e-19
4.823830708554580269e+03 3.241730635430802952e-21 1.451579161148762531e-19
4.828836636487635587e+03 3.228188632003305424e-21 1.432248171615058466e-19
4.833842564420691815e+03 3.215078075582581817e-21 1.380541949575825470e-19
4.838848492353747133e+03 3.202389793315372071e-21 1.359734313454511131e-19
4.843854420286802451e+03 3.190114723939991060e-21 1.350635284608576820e-19
4.848860348219858679e+03 3.178243917139215385e-21 2.089200519349597652e-19
4.853866276152913997e+03 3.166768532920457045e-21 2.239470161524305124e-19
4.858872204085970225e+03 3.155679841051777429e-21 2.008567811117231038e-19
4.863878132019025543e+03 3.144969220361857289e-21 1.835780474382045412e-19
4.868884059952080861e+03 3.134552483103060887e-21 1.816359854912465757e-19
4.873889987885137089e+03 3.124552962863447127e-21 1.791339548536422418e-19
4.878895915818192407e+03 3.114933012447837916e-21 1.738387566503073542e-19
4.883901843751248634e+03 3.105657470937371549e-21 1.663909034537179235e-19
4.888907771684303952e+03 3.096718258220647982e-21 1.615890844563749552e-19
4.893913699617360180e+03 3.088107399628570481e-21 1.587075697965398971e-19
4.898919627550415498e+03 3.079817025328416839e-21 1.571539247194201910e-19
4.903925555483470816e+03 3.071839369639644868e-21 1.517020186664675277e-19
4.908931483416527044e+03 3.064166770541053316e-21 1.445873197709016576e-19
4.913937411349582362e+03 3.056791668960485743e-21 1.396249466689602931e-19
4.918943339282638590e+03 3.049706608248385466e-21 1.360605445110728464e-19
4.923949267215693908e+03 3.042904233476384664e-21 1.334119473546108791e-19
4.928955195148750136e+03 3.036377290926566942e-21 1.305312858513297637e-19
4.933961123081805454e+03 3.030118627402799542e-21 1.285095717233577866e-19
4.938967051014860772e+03 3.024121189678761074e-21 1.278824480360693793e-19
4.943972978947916999e+03 3.018378023828361122e-21 1.268357800396589864e-19
4.948978906880972318e+03 3.012882274677425733e-21 1.263425443528452946e-19
4.953984834814028545e+03 3.007627185141543143e-21 1.245320910331032390e-19
4.958990762747083863e+03 3.002606095686872977e-21 1.221728694902431268e-19
4.963996690680139181e+03 2.997812443609603956e-21 1.215739440726010721e-19
4.969002618613195409e+03 2.993239762557151905e-21 1.225125714269709600e-19
4.974008546546250727e+03 2.988881681805321762e-21 1.226574378955777606e-19
4.979014474479306955e+03 2.984731925749889157e-21 1.198000968460253189e-19
4.984020402412362273e+03 -4.222571828430571346e-20 1.172349601338750640e-19
4.989026330345418501e+03 1.030745817066024288e-20 1.186628717849016266e-19
4.994032258278473819e+03 4.724876385593969022e-20 1.186697940432980085e-19
4.999038186211529137e+03 1.389054188214702264e-19 1.151790632599694148e-19
5.004044114144585365e+03 2.491093198898760936e-20 1.106683444664364685e-19
5.009050042077640683e+03 1.155916962769237755e-19 1.060434697441467815e-19
5.014055970010696910e+03 5.777432439229765676e-20 1.018219129404321132e-19
5.019061897943752228e+03 9.129031844554565826e-20 9.863084092094470174e-20
5.024067825876807547e+03 -2.475790485066369634e-20 9.628538875188211338e-20
5.029073753809863774e+03 -7.212163482212286091e-20 9.515121770998738173e-20
