#  wl flam flam_err
4.803806996822357178e+03 5.105855776255426547e-19 1.436135134065301405e-18
4.808812924755412496e+03 5.082090480879621463e-19 1.286379933841466133e-18
4.813818852688468723e+03 5.059051159469593960e-19 1.169072800819384038e-18
4.818824780621524042e+03 5.036722921537568302e-19 1.085455105534278106e-18
4.823830708554580269e+03 5.015091052898165351e-19 9.974454770592154770e-19
4.828836636487635587e+03 4.994141014827363402e-19 8.661254966628790073e-19
4.833842564420691815e+03 4.973858443078354725e-19 7.529512286680748137e-19
4.838848492353747133e+03 4.954229146868652781e-19 6.945564496086407164e-19
4.843854420286802451e+03 4.935239108052550945e-19 7.448873141743069198e-19
4.848860348219858679e+03 4.916874480119997153e-19 7.461753334291421818e-19
4.853866276152913997e+03 4.899121587237700349e-19 6.410240036001610007e-19
4.858872204085970225e+03 4.881966923376625476e-19 5.449638613402344051e-19
4.863878132019025543e+03 4.865397151229020924e-19 4.910688003082374683e-19
4.868884059952080861e+03 4.849282028875543539e-19 4.702659880739801794e-19
4.873889987885137089e+03 4.833812358465899293e-19 4.783961552615599735e-19
4.878895915818192407e+03 4.818929898235752635e-19 4.886763751518623924e-19
4.883901843751248634e+03 4.804580252792820525e-19 4.612578482026168772e-19
4.888907771684303952e+03 4.790750921871365400e-19 4.312984578939836626e-19
4.893913699617360180e+03 4.777429568329242795e-19 4.092994348706674244e-19
4.898919627550415498e+03 4.764604017210510796e-19 3.943875598443033757e-19
4.903925555483470816e+03 4.752262254686942795e-19 3.801938010631009459e-19
4.908931483416527044e+03 4.740392427295590340e-19 3.554457980005220874e-19
4.913937411349582362e+03 4.728982840839928402e-19 3.086168280652504622e-19
4.918943339282638590e+03 4.718021959575413302e-19 2.873245659262804103e-19
4.923949267215693908e+03 4.707498405124385858e-19 2.839499945471830046e-19
4.928955195148750136e+03 4.697400955685924918e-19 2.820059206063861367e-19
4.933961123081805454e+03 4.687718544970460471e-19 2.772657091011837017e-19
4.938967051014860772e+03 4.678440261345842312e-19 2.674696413094737092e-19
4.943972978947916999e+03 4.669555346801477657e-19 2.593612941000564252e-19
4.948978906880972318e+03 4.661053196100063001e-19 2.546663965482401016e-19
4.953984834814028545e+03 4.652923355753200280e-19 2.559058390660018840e-19
4.958990762747083863e+03 4.645155523187255425e-19 2.545120104363218104e-19
4.963996690680139181e+03 4.637739545628644555e-19 2.512757793756033105e-19
4.969002618613195409e+03 4.630665419363104950e-19 2.452051968583346041e-19
4.974008546546250727e+03 4.623923288617434645e-19 2.363591534919826698e-19
4.979014474479306955e+03 4.617503444772962860e-19 2.235541004021080358e-19
4.984020402412362273e+03 4.611396325218188794e-19 2.252623824472563899e-19
4.989026330345418501e+03 4.605592512643748744e-19 2.266943975217517451e-19
4.994032258278473819e+03 4.600070352366907232e-19 2.231061880777723912e-19
4.999038186211529137e+03 4.594808155637193472e-19 2.105538345474995696e-19
5.004044114144585365e+03 4.589864727229881072e-19 1.996655623782815820e-19
5.009050042077640683e+03 4.585188092422821509e-19 1.958495973219206584e-19
5.014055970010696910e+03 4.580769551629699575e-19 1.889423813364555791e-19
5.019061897943752228e+03 4.576600544895473999e-19 1.854792214626624133e-19
5.024067825876807547e+03 4.572672650668326508e-19 1.866857278052820434e-19
5.029073753809863774e+03 4.568977585093255766e-19 1.866890569655775418e-19
5.034079681742919092e+03 4.565507200921943244e-19 1.830010612087908142e-19
5.039085609675975320e+03 4.562253486599424279e-19 1.799669248420716629e-19
5.044091537609030638e+03 4.034758844944946905e-19 1.791057538564276498e-19
5.049097465542086866e+03 4.098700287594638786e-19 1.758176476623306039e-19
5.054103393475142184e+03 3.866278175871340966e-19 1.689693376933967726e-19
5.059109321408197502e+03 5.368627124339971605e-19 1.617182740284713608e-19
5.064115249341253730e+03 4.320253592217165950e-19 1.572819805874724847e-19
5.069121177274309048e+03 2.659735414086214409e-19 1.553780326756998011e-19
5.074127105207365275e+03 9.169046487349393113e-20 1.532474074240798257e-19
5.079133033140420594e+03 4.727442550116810581e-19 1.482180376779912866e-19
5.084138961073476821e+03 3.712021236920580454e-19 1.484667431326361018e-19
5.089144889006532139e+03 3.230360677554824016e-19 1.459848404124823007e-19
5.094150816939587457e+03 2.358623731265780386e-19 1.463524623941368232e-19
5.099156744872643685e+03 4.979175855873141640e-19 1.466061633453877048e-19
5.104162672805699003e+03 4.707949637064499955e-19 1.539382517088096920e-19
5.109168600738755231e+03 3.791779654379188999e-19 1.604066330808124031e-19
5.114174528671810549e+03 3.104561166799093079e-19 1.625917963411746758e-19
5.119180456604865867e+03 3.607286990852131716e-19 1.614278638471113478e-19
5.124186384537922095e+03 4.310751902392151956e-19 1.569148266204404083e-19
5.129192312470977413e+03 4.134158740908848029e-19 1.553436920967010466e-19
5.134198240404033641e+03 4.073584154802995597e-19 1.553296547840002004e-19
5.139204168337088959e+03 4.442202007838503411e-19 1.526338256059334287e-19
5.144210096270145186e+03 5.293959229714502071e-19 1.471157999747236150e-19
5.149216024203200504e+03 4.192991269597850471e-19 1.409019334394255907e-19
5.154221952136255823e+03 2.207654449035030097e-19 1.322976163991071501e-19
5.159227880069312050e+03 1.863696904171760118e-19 1.246755152958079318e-19
5.164233808002367368e+03 3.175326475452449501e-19 1.162811422461528985e-19
5.169239735935423596e+03 4.891210330130995484e-19 1.115256997710189665e-19
5.174245663868478914e+03 4.581762659001357072e-19 1.120517727242948242e-19
5.179251591801534232e+03 4.909087137409447703e-19 1.108922853459614331e-19
5.184257519734590460e+03 4.247089985583373676e-19 1.100784231864641719e-19
5.189263447667645778e+03 4.632433086706652202e-19 1.121597503090183469e-19
5.194269375600702006e+03 3.733985515901202712e-19 1.183754831708471234e-19
5.199275303533757324e+03 4.172776579560985359e-19 1.237283795433145801e-19
5.204281231466813551e+03 5.701423840513466653e-19 1.252872626545701656e-19
5.209287159399868870e+03 4.336270096226875911e-19 1.228807595449569247e-19
5.214293087332924188e+03 7.364910427418371506e-19 1.219925551115763576e-19
5.219299015265980415e+03 5.682237832047892169e-19 1.201471152949441741e-19
5.224304943199035733e+03 4.335711131197854731e-19 1.195089609801475657e-19
5.229310871132091961e+03 6.640314519762137670e-19 1.205274092083723917e-19
5.234316799065147279e+03 3.800864784674739219e-19 1.235993551969971504e-19
5.239322726998203507e+03 2.703201073084086053e-19 1.246710985208302928e-19
5.244328654931258825e+03 2.961349971985935462e-19 1.225643419982442775e-19
5.249334582864314143e+03 2.813904346088988333e-19 1.194540321949424079e-19
5.254340510797370371e+03 3.000872212746673070e-19 1.169693796744748919e-19
5.259346438730425689e+03 1.542947928485425798e-19 1.124248965472656406e-19
5.264352366663481916e+03 2.829269859772851187e-19 1.086616258901368723e-19
5.269358294596537235e+03 3.872332724572161677e-19 1.069193308472548986e-19
5.274364222529593462e+03 4.146365367693680457e-19 1.077526763399118433e-19
5.279370150462648780e+03 3.230948807364470861e-19 1.062070832429353570e-19
5.284376078395704099e+03 5.907531809792291497e-19 1.062788798736119098e-19
5.289382006328760326e+03 5.301179386802205407e-19 1.090435840298647758e-19
5.294387934261815644e+03 5.098048067036789028e-19 1.083442656638051579e-19
5.299393862194871872e+03 4.560615913765734387e-19 1.099525046546319526e-19
5.304399790127927190e+03 3.272073472785063208e-19 1.122553367191290644e-19
5.309405718060982508e+03 1.297141898284005081e-19 1.126576540769457772e-19
5.314411645994038736e+03 1.678890511871991944e-19 1.089214509550720200e-19
5.319417573927094054e+03 3.403197881684829941e-19 1.033563928403276630e-19
5.324423501860150282e+03 3.594686053110248147e-19 1.001225497877817036e-19
5.329429429793205600e+03 5.542933362687610820e-19 1.002600151391289127e-19
5.334435357726260918e+03 6.774912494011795505e-19 1.029011060465863093e-19
5.339441285659317145e+03 5.153682530901719910e-19 1.038709504113886574e-19
5.344447213592372464e+03 3.165474750105850775e-19 1.042332261660439241e-19
5.349453141525428691e+03 4.625208129308412109e-19 1.039593087288228175e-19
5.354459069458484009e+03 5.475319608578645870e-19 1.029295620153960126e-19
5.359464997391540237e+03 2.053332016457579881e-19 1.016171402710636452e-19
5.364470925324595555e+03 3.350830541629743090e-19 1.019100040161980641e-19
5.369476853257650873e+03 3.579266430954527951e-19 1.054753138631045940e-19
5.374482781190707101e+03 3.921148407622208510e-19 1.105097129374201032e-19
5.379488709123762419e+03 3.936719354437131496e-19 1.131579083133416925e-19
