#  wl flam flam_err
4.803806996822357178e+03 -2.427154685506478916e-18 4.456044337516900189e-18
4.808812924755412496e+03 -4.756678873780223241e-19 4.142840067588633753e-18
4.813818852688468723e+03 3.053722046652080515e-18 3.754454454354610791e-18
4.818824780621524042e+03 8.870217759072428688e-19 3.328706199322931693e-18
4.823830708554580269e+03 9.238928548446517916e-19 2.999544809163962205e-18
4.828836636487635587e+03 3.252303490843837311e-19 2.687842558348606951e-18
4.833842564420691815e+03 2.081868299098721199e-19 2.377639631510392859e-18
4.838848492353747133e+03 -2.110726303095681217e-18 2.155972911589749116e-18
4.843854420286802451e+03 1.626733452094742356e-19 2.223851296508021207e-18
4.848860348219858679e+03 1.195278197456688675e-18 2.219548808509556519e-18
4.853866276152913997e+03 1.249712041825742906e-19 1.979603599863424700e-18
4.858872204085970225e+03 1.310698139447721350e-18 1.685493483292394512e-18
4.863878132019025543e+03 1.536229697687946006e-18 1.478312414310246989e-18
4.868884059952080861e+03 8.017457418320928226e-19 1.388316842709706795e-18
4.873889987885137089e+03 1.228276802786993093e-19 1.448148615539499285e-18
4.878895915818192407e+03 6.974939979311976271e-20 1.481973434474569031e-18
4.883901843751248634e+03 -1.554972790110540246e-18 1.372014950372550617e-18
4.888907771684303952e+03 -1.439986580704651689e-18 1.265724567159930194e-18
4.893913699617360180e+03 -1.344624072995372041e-19 1.214131736086435604e-18
4.898919627550415498e+03 -5.371594608969606759e-19 1.178128693386914633e-18
4.903925555483470816e+03 -1.921002143326443351e-19 1.109069377490364026e-18
4.908931483416527044e+03 5.565023198632048792e-19 1.013906490191722547e-18
4.913937411349582362e+03 5.056635427469616504e-19 8.916170759294249415e-19
4.918943339282638590e+03 8.560889242403255694e-19 8.498941224743452721e-19
4.923949267215693908e+03 1.179187770180038077e-18 8.406622558230467992e-19
4.928955195148750136e+03 2.069025671806021892e-19 7.975730639730641321e-19
4.933961123081805454e+03 7.828273249304173005e-19 7.579357673031537811e-19
4.938967051014860772e+03 8.941496653448869612e-19 7.465618351049510822e-19
4.943972978947916999e+03 4.336824560812774007e-19 7.539518527379806678e-19
4.948978906880972318e+03 5.570529640485371559e-20 7.431812441987249215e-19
4.953984834814028545e+03 2.104977035760020652e-19 7.096181025235795817e-19
4.958990762747083863e+03 -2.569255772015180257e-20 6.872232939177942309e-19
4.963996690680139181e+03 1.174608490865148629e-18 6.896597598734910211e-19
4.969002618613195409e+03 2.664384934547335992e-19 7.019101636365432848e-19
4.974008546546250727e+03 5.196819378419645323e-19 6.863199487348073213e-19
4.979014474479306955e+03 1.677513570027884593e-19 6.271178364087296672e-19
4.984020402412362273e+03 -1.416117945378662467e-19 6.061700736104807660e-19
4.989026330345418501e+03 1.449702072189068928e-19 6.167159638928787464e-19
4.994032258278473819e+03 3.346498179973265083e-19 6.245497158548545486e-19
4.999038186211529137e+03 5.443927442630789234e-19 5.937374241908499372e-19
5.004044114144585365e+03 1.367269840044541433e-19 5.444403514113360924e-19
5.009050042077640683e+03 5.708472516842011074e-19 5.264740841077542478e-19
5.014055970010696910e+03 2.379813508881291988e-19 5.173995999384490314e-19
5.019061897943752228e+03 2.996151542913538453e-19 5.078976144235337600e-19
5.024067825876807547e+03 4.670916179521838306e-19 5.087338570999732461e-19
5.029073753809863774e+03 2.185618470386874278e-19 5.036510276020552050e-19
5.034079681742919092e+03 -1.875226779322466448e-19 5.015391671603359233e-19
5.039085609675975320e+03 1.184458353199209589e-19 5.031536854693934774e-19
5.044091537609030638e+03 7.624386017219119429e-19 4.942263166813159147e-19
5.049097465542086866e+03 1.198416456599636077e-19 4.695827670353166588e-19
5.054103393475142184e+03 -1.859500948997427781e-19 4.484792144409613656e-19
5.059109321408197502e+03 -4.058128482747986646e-19 4.390412869806635369e-19
5.064115249341253730e+03 -3.161533406625235099e-19 4.458354795220051857e-19
5.069121177274309048e+03 8.542092564979935107e-20 4.324669517987072256e-19
5.074127105207365275e+03 1.793565183262879908e-20 4.078923279969814880e-19
5.079133033140420594e+03 -1.887220704115435993e-19 3.823774520921274190e-19
5.084138961073476821e+03 -1.025205527777879391e-19 3.878344021913827941e-19
5.089144889006532139e+03 -8.756085446595853820e-20 4.016301794105626200e-19
5.094150816939587457e+03 3.455271947808619516e-19 4.075068553846536108e-19
5.099156744872643685e+03 -2.935059883210901129e-19 3.927938915663857108e-19
5.104162672805699003e+03 2.907125241381775422e-19 3.908872355514559173e-19
5.109168600738755231e+03 4.226844339789296166e-19 4.050901535010343960e-19
5.114174528671810549e+03 2.547845881758799495e-19 4.310117586017683454e-19
5.119180456604865867e+03 -5.099336080702655656e-21 4.429740333731385141e-19
5.124186384537922095e+03 1.856521885435772411e-19 4.316874421396405411e-19
5.129192312470977413e+03 5.596231737259076733e-19 4.080331590091874410e-19
5.134198240404033641e+03 3.596306183865104731e-19 3.976164729979687488e-19
5.139204168337088959e+03 3.255189911483652982e-19 3.984917420316445159e-19
5.144210096270145186e+03 -1.583563377489875610e-19 3.931137936611014031e-19
5.149216024203200504e+03 5.384704047983409138e-19 3.766353033023779462e-19
5.154221952136255823e+03 3.365131162145462289e-19 3.486416730073744083e-19
5.159227880069312050e+03 3.815797451928222090e-19 3.245010980927132590e-19
5.164233808002367368e+03 -2.325510857379874320e-19 3.065261783943558435e-19
5.169239735935423596e+03 3.046497786052332799e-19 2.983720367846311786e-19
5.174245663868478914e+03 1.534915079334453282e-19 2.927496499373144371e-19
5.179251591801534232e+03 4.350945793909969271e-19 2.861752606334047482e-19
5.184257519734590460e+03 -8.393223188698570477e-20 2.837111205908174798e-19
5.189263447667645778e+03 -1.381427867081903989e-19 2.935938982297478207e-19
5.194269375600702006e+03 3.032770188995668978e-19 3.107572769083308396e-19
5.199275303533757324e+03 -8.606174578804077752e-20 3.162234969040584056e-19
5.204281231466813551e+03 4.378855737017915506e-19 3.088144539756317796e-19
5.209287159399868870e+03 5.909967854778765792e-20 3.035293406755921317e-19
5.214293087332924188e+03 -3.532890657227426184e-19 3.085663291412080607e-19
5.219299015265980415e+03 3.595919892646421217e-19 3.192696439990988037e-19
5.224304943199035733e+03 5.281730900546895192e-19 3.195492866281872289e-19
5.229310871132091961e+03 8.319165172504761162e-20 3.115686350830629811e-19
5.234316799065147279e+03 -4.285640626731306127e-20 3.025736482310738970e-19
5.239322726998203507e+03 5.421062661044706954e-19 3.025142148070232293e-19
5.244328654931258825e+03 3.800898816994776842e-19 3.085541993144149385e-19
5.249334582864314143e+03 -1.673646227107846394e-19 3.136676407744250029e-19
5.254340510797370371e+03 2.419930887810783969e-19 3.079026236855943493e-19
5.259346438730425689e+03 7.063729597413049578e-19 2.871583967688719168e-19
5.264352366663481916e+03 -1.700525309868882721e-20 2.703495934111801737e-19
5.269358294596537235e+03 3.062467868232968927e-19 2.650123575895710698e-19
5.274364222529593462e+03 -1.455782730360918758e-19 2.707374045038204855e-19
5.279370150462648780e+03 -8.596127532088405236e-21 2.730243355321666765e-19
5.284376078395704099e+03 7.227009793828309265e-20 2.740676085766156075e-19
5.289382006328760326e+03 2.413596314477008184e-19 2.768009878489971700e-19
5.294387934261815644e+03 3.441597089871983065e-19 2.721381064508162549e-19
5.299393862194871872e+03 3.274995513120510856e-20 2.748084709947005571e-19
5.304399790127927190e+03 -8.472288228857495955e-20 2.836615857623180791e-19
5.309405718060982508e+03 1.313478347606026456e-19 2.827811978835795414e-19
5.314411645994038736e+03 -2.824896464095205523e-20 2.705136371792542997e-19
5.319417573927094054e+03 -8.128694159008402564e-20 2.585624729678854671e-19
5.324423501860150282e+03 -1.183167038261925119e-19 2.551901674779997234e-19
5.329429429793205600e+03 8.399159781283027047e-20 2.583947532480700368e-19
5.334435357726260918e+03 4.982723838350746629e-19 2.630136141752766676e-19
5.339441285659317145e+03 3.954562987980055792e-19 2.585050372754624605e-19
5.344447213592372464e+03 -8.440754381854815138e-20 2.516926618024770225e-19
5.349453141525428691e+03 1.142143768407074474e-19 2.503596568294985838e-19
5.354459069458484009e+03 8.321187090919751634e-20 2.548755561709778903e-19
5.359464997391540237e+03 1.111193362210902797e-20 2.641222105438674428e-19
5.364470925324595555e+03 1.301307331400148806e-19 2.652592678438941472e-19
5.369476853257650873e+03 2.099732588345131990e-19 2.631848130738800086e-19
5.374482781190707101e+03 1.583606692521236021e-19 2.646140041049403959e-19
5.379488709123762419e+03 1.793117540423463005e-19 2.682375927403862960e-19
5.384494637056818647e+03 4.792032111313575405e-19 2.688812760542235093e-19
5.389500564989873965e+03 3.301709531573328819e-19 2.722401408504457087e-19
5.394506492922930192e+03 2.504020609733615908e-19 2.657079593706312973e-19
5.399512420855985511e+03 -9.029975534810232214e-20 2.526842376843257405e-19
5.404518348789040829e+03 8.437036183105747129e-22 2.413330314946518659e-19
5.409524276722097056e+03 3.932447108789430879e-19 2.339173494409648869e-19
5.414530204655152374e+03 -2.958986292641680249e-20 2.349314118966570921e-19
5.419536132588208602e+03 1.100434929365285627e-19 2.331001383841152107e-19
5.424542060521263920e+03 -1.844586201659222059e-19 2.299713609435311513e-19
5.429547988454320148e+03 8.552863952475679934e-21 2.212887779612798282e-19
5.434553916387375466e+03 2.229360857925750982e-19 2.179894311500134146e-19
5.439559844320430784e+03 5.829547622431169530e-19 2.184114649313598653e-19
5.444565772253487012e+03 1.257687991672727365e-19 2.239507764837920381e-19
5.449571700186542330e+03 2.983661248026616207e-19 2.284456536103934377e-19
5.454577628119598558e+03 -8.834436352219858775e-21 2.329250195506428158e-19
5.459583556052653876e+03 6.966803152282995381e-20 2.322680319442238041e-19
5.464589483985709194e+03 7.194196241257126982e-21 2.316133517815437432e-19
5.469595411918765421e+03 3.844748761700220788e-19 2.348095432410971501e-19
5.474601339851820740e+03 -1.912948886782290539e-20 2.424021576054138484e-19
5.479607267784876967e+03 -1.778650652528831572e-20 2.503892221308930265e-19
5.484613195717932285e+03 6.199663684843362306e-20 2.565398568980818270e-19
5.489619123650987603e+03 1.519775102617233155e-19 2.598599555379935706e-19
5.494625051584043831e+03 2.237004506558956107e-19 2.585437678682533351e-19
5.499630979517099149e+03 4.054375966279548806e-19 2.590251183572253796e-19
5.504636907450155377e+03 1.339862913745156632e-19 2.595647962441449598e-19
5.509642835383210695e+03 -2.712849758704335236e-19 2.593154738486992764e-19
5.514648763316266923e+03 3.176811449065159261e-19 2.516454374754569488e-19
5.519654691249322241e+03 4.940477597538092473e-19 2.406034111417419459e-19
5.524660619182377559e+03 2.041766393861684646e-19 2.310436707618759019e-19
5.529666547115433787e+03 -1.593069257757529740e-19 2.209346518107616631e-19
5.534672475048489105e+03 -1.512643245564679268e-19 2.161183652841044238e-19
5.539678402981545332e+03 2.021147945153154509e-19 2.154654560029082742e-19
5.544684330914600650e+03 4.269164658313021052e-19 2.146115435146607795e-19
5.549690258847656878e+03 -2.203443306243312378e-19 2.059507633192012096e-19
5.554696186780712196e+03 2.912478298098527871e-19 1.970819864911652425e-19
5.559702114713767514e+03 1.859650371761479869e-19 1.935529567533344857e-19
5.564708042646823742e+03 -1.139798752731858756e-19 1.940297033885832340e-19
5.569713970579879060e+03 -4.651392197772324855e-20 2.679303355031586397e-19
5.574719898512935288e+03 1.819825350049749529e-19 4.250533056102233068e-19
5.579725826445990606e+03 1.923685798137859414e-19 4.307384100146095591e-19
5.584731754379046833e+03 1.590867130340617373e-19 2.838215441202074750e-19
5.589737682312102152e+03 2.815061397506452507e-19 1.917759527482931133e-19
5.594743610245157470e+03 2.897932771373496937e-19 1.899802893571510126e-19
