Galaxy,OutputAll0,DirAll0,x2All0,OutputAll1,DirAll1,x2All1,OutputAll2,DirAll2,x2All2,OutputAll3,DirAll3,x2All3,OutputAll4,DirAll4,x2All4,OutputAll5,DirAll5,x2All5,OutputAll6,DirAll6,x2All6,OutputAll7,DirAll7,x2All7,OutputAll8,DirAll8,x2All8,OutputAll9,DirAll9,x2All9
UDS203722_P4M2Q1_P4M1Q1_P4M4Q1_P4M3Q1_008_1,148,157,1.2149029724232654,148,60,1.2338001105984748,148,220,1.2412809044344684,152,196,1.2604748276933488,99,10,1.370340952288912,102,10,1.4207932246414068,143,120,1.4529941584304429,163,97,1.5302975818021933,102,56,1.5591818637327168,149,117,1.5727913184534927
CDFS002584_P1M1Q4_P1M2Q4_P1M3Q4_P1M4Q4_021_2,150,253,4.925350591796796,164,259,5.134367968092666,148,157,5.23383411016069,153,274,5.436773683944575,153,233,5.452248324935388,104,145,5.454959827733453,100,203,5.568128139961203,153,270,5.589220090459689,103,41,5.597727995310682,151,72,5.621334720325463
CDFS015555_P4M2Q1_P4M3Q1_006_1,109,149,0.8945750124093149,162,162,0.896223369292285,164,118,0.9227540345356318,164,137,0.9365024734224084,102,56,0.9465818216662988,149,113,0.9588895538337779,134,145,0.9605590492680072,162,183,0.9606252181714391,163,55,0.9611316294881415,163,117,0.9645637102217932
UDS015507_P2M1Q1_P2M2Q1_P2M3Q1_P2M4Q1_004_2,149,101,1.0810928856474242,153,38,1.1944364220132533,160,22,1.2098848786300758,148,103,1.2376113765938317,160,36,1.2436839512388702,153,22,1.2543674397766749,158,261,1.263771175878108,148,63,1.269153716192884,158,262,1.271801717795046,160,35,1.2732466653709182
CDFS025828_P2M3Q2_P2M4Q2_013_1,160,205,0.9062887919938853,160,204,0.9065853291957968,118,228,0.9182067905601389,142,96,0.9287824410842269,130,162,0.9315375999679661,145,167,0.9371543688525614,116,230,0.9375468485303463,97,65,0.9442044097249837,161,203,0.9469201987912709,142,97,0.9474942720094961
UDS152861_P4M1Q3_P4M4Q3_P2M1Q3_P2M4Q3_002_1,148,180,0.43072472086253344,148,220,0.4414092066349698,149,97,0.4543367655007028,148,157,0.5228372006470032,158,243,0.5434306749967321,148,200,0.5474867077636243,148,219,0.5514313803408426,149,199,0.5551915250503094,149,178,0.5566430303290227,161,203,0.5761582599636644
UDS002096_P2M1Q4_P2M2Q4_002_2,104,184,3.614826598423296,152,196,3.657743513881977,104,203,3.777814492367816,106,204,3.947251618098695,104,144,3.9507076602746767,104,164,3.9731402948089047,148,157,4.003786923913124,106,184,4.075856817499924,106,164,4.079882719766506,106,183,4.087538944999896
UDS013500_P2M1Q1_P2M4Q1_P3M1Q2_P3M2Q2_002_1,148,220,1.2048774696851046,148,157,1.240529504401708,148,60,1.6066960544394384,149,136,1.7015345152813566,99,10,1.7155876935453926,161,185,1.7331376933892653,149,75,1.761321795328498,120,119,1.805964980071932,102,10,1.821803523272506,153,187,1.8707556818563928
UDS151133_P1M2Q4_020_2,148,157,2.8043139331923483,148,220,2.8667947816307926,162,121,2.9161761491013243,101,204,3.0169746164996614,149,136,3.1015519349032865,148,180,3.126769871789202,101,105,3.1515059498815634,152,196,3.175448002051526,149,199,3.1926371419966393,107,189,3.245802629289986
UDS026287_P1M3Q2_P4M4Q1_P1M1Q2_P1M4Q2_P1M2Q2_001_2,153,274,1.3118059611087844,101,204,1.3181787767043314,148,220,1.397504744488635,115,146,1.4293490660430892,149,159,1.4588233907493346,148,102,1.4621308062884113,150,230,1.4693475287122808,153,74,1.4940696442475423,103,256,1.513426228483494,99,128,1.5220981515984764
UDS026179_P2M3Q2_P2M4Q2_015_1,99,137,1.9538276886399777,149,185,1.9666218171763152,99,158,2.0818169879815707,149,203,2.137529499203603,144,165,2.1376831844037496,158,184,2.1654940106129357,128,125,2.1948038240981638,148,154,2.2148007165734858,160,94,2.226990560671748,153,125,2.2270084845894766
CDFS006417_P2M4Q4_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_001_1,101,204,1.903156510163956,99,54,1.93785424558133,150,253,1.9964046379151617,99,75,2.034865304746541,100,184,2.0494990027790907,102,225,2.1019466500686432,100,202,2.1632225718432574,102,279,2.173646353410634,100,224,2.1864093993969584,100,203,2.2086339573271996
CDFS208015_P2M1Q4_P2M2Q4_P2M3Q4_P2M4Q4_002_2,144,185,1.9415088172709933,156,203,2.045895698416691,151,23,2.1117902865132363,144,145,2.140787974902617,120,136,2.1471054868454496,156,163,2.1475518749158002,120,137,2.1866382052656097,141,143,2.187364043459384,156,224,2.192242359266701,125,155,2.2233022151562296
CDFS231741_P2M3Q1_P2M4Q1_012_1,132,205,0.2996062487590559,132,164,0.300152389594175,162,183,0.30342362388201055,162,202,0.3048918464836757,155,204,0.308931330649382,128,187,0.30936518801916796,128,147,0.31155767924069416,128,166,0.31164680751791407,128,206,0.3144379298080653,132,186,0.3170799154065045
