Galaxy,OutputAll0,DirAll0,x2All0,outAll0,OutputAll1,DirAll1,x2All1,outAll1,OutputAll2,DirAll2,x2All2,outAll2,OutputAll3,DirAll3,x2All3,outAll3,OutputAll4,DirAll4,x2All4,outAll4,OutputAll5,DirAll5,x2All5,outAll5,OutputAll6,DirAll6,x2All6,outAll6,OutputAll7,DirAll7,x2All7,outAll7,OutputAll8,DirAll8,x2All8,outAll8,OutputAll9,DirAll9,x2All9,outAll9
UDS203722_P4M2Q1_P4M1Q1_P4M4Q1_P4M3Q1_008_1,149,203,1.0829664516262996,-16.0,148,60,1.1401496720264417,-5.0,148,157,1.149582986172644,5.0,148,220,1.1911093487529072,-2.0,152,196,1.2519267341442972,1.0,99,10,1.3259799406391568,-2.0,143,120,1.3834897632486638,-5.0,102,10,1.4712134200466835,-5.0,149,185,1.4905669649262505,-13.0,148,40,1.5379298674986013,-3.0
CDFS002584_P1M1Q4_P1M2Q4_P1M3Q4_P1M4Q4_021_2,120,165,1.2143788555326984,-43.0,101,57,1.305487592432153,-45.0,148,156,1.316204201323457,-44.0,149,183,1.3376305559094404,-48.0,115,151,1.341125517853176,-39.0,153,125,1.3441989901510591,-45.0,116,172,1.3461294139361026,-39.0,144,165,1.3644900785596268,-46.0,153,87,1.3725829903202376,-42.0,109,95,1.3793665208698598,-44.0
CDFS015555_P4M2Q1_P4M3Q1_006_1,155,185,1.1271360294401678,-21.0,132,184,1.168043756096043,-23.0,144,165,1.2029880335032113,-24.0,132,144,1.2051130914553494,-24.0,118,167,1.2110923946312169,-22.0,121,77,1.2254144029862997,-21.0,116,128,1.2404617626869787,-20.0,133,163,1.2425329336772846,-24.0,120,231,1.2457028948796252,-23.0,132,164,1.2481331128282651,-23.0
UDS015507_P2M1Q1_P2M2Q1_P2M3Q1_P2M4Q1_004_2,152,297,0.7465878188552205,22.0,158,53,0.9084437460853437,14.0,160,71,0.9835258713139263,20.0,151,256,0.9918511848492996,21.0,160,70,1.0089698695179543,21.0,158,15,1.0175794806991416,21.0,149,101,1.018964639485048,2.0,160,50,1.0219251844912738,21.0,151,285,1.031987645632057,23.0,161,261,1.033241075891556,23.0
CDFS025828_P2M3Q2_P2M4Q2_013_1,142,148,0.9071544847693711,2.0,118,228,0.9139411857876518,0.0,155,144,0.9213528479844383,-1.0,160,116,0.9241099320452152,-1.0,161,203,0.9243909838548308,2.0,117,147,0.9245429191785709,2.0,115,192,0.9302403290971493,2.0,155,163,0.9340163416265197,-1.0,146,189,0.9364080049368882,2.0,116,230,0.9367944211661791,1.0
UDS152861_P4M1Q3_P4M4Q3_P2M1Q3_P2M4Q3_002_1,149,97,0.42798092158391954,-3.0,148,220,0.4383726366279629,0.0,148,180,0.4537628728737803,0.0,101,204,0.46230953163843186,6.0,148,200,0.4989653580968992,-2.0,148,61,0.5266654898402344,-6.0,149,199,0.5448317057282571,0.0,148,157,0.5465172409442185,3.0,99,77,0.550315764813488,-8.0,149,117,0.5522150193385885,-4.0
UDS002096_P2M1Q4_P2M2Q4_002_2,149,185,2.1209799325405183,-28.0,149,203,2.174884803496925,-32.0,164,97,2.330517303860686,-20.0,148,154,2.3917339287099333,-23.0,101,58,2.461844191596261,-32.0,99,78,2.4771105414314487,-26.0,163,77,2.479483955202222,-21.0,148,177,2.4922573705055364,-18.0,162,183,2.5038481969451385,-19.0,143,120,2.5329483950558846,-21.0
UDS013500_P2M1Q1_P2M4Q1_P3M1Q2_P3M2Q2_002_1,148,220,1.245175682209612,3.0,148,157,1.367178081518733,6.0,148,60,1.6069364412766018,0.0,149,136,1.677730539717897,5.0,99,10,1.7054000611702356,0.0,149,75,1.7528476287105483,-4.0,120,119,1.7923942079675603,0.0,158,243,1.8390389905482867,3.0,148,200,1.8465690652761984,4.0,143,120,1.8526120280622196,-2.0
UDS151133_P1M2Q4_020_2,148,220,1.7017019039236019,-26.0,148,60,1.7121866359110873,-32.0,148,157,1.7698127922233347,-24.0,143,120,1.7848884477844686,-33.0,101,96,1.830065316406029,-35.0,148,198,1.839853011081553,-30.0,149,136,1.8478590704159228,-27.0,149,203,1.8783239886852183,-41.0,101,21,1.8939332648046832,-32.0,120,119,1.9045941117399847,-32.0
UDS026287_P1M3Q2_P4M4Q1_P1M1Q2_P1M4Q2_P1M2Q2_001_2,148,220,0.7630469709829608,-19.0,149,97,0.8968481145067414,-23.0,148,200,0.9637776611773776,-23.0,148,219,0.9988261850013367,-20.0,109,115,1.0078610003857962,-26.0,151,23,1.0217585747420581,-31.0,149,199,1.0342794483658804,-22.0,101,164,1.035486444701834,-24.0,148,224,1.0363862048525405,-28.0,153,204,1.0380914739481337,-26.0
UDS026179_P2M3Q2_P2M4Q2_015_1,109,191,1.7350896052869065,12.0,163,77,1.7599036993363204,10.0,103,285,1.7641681757061551,13.0,148,60,1.7680227304010556,11.0,164,97,1.7727590240472542,9.0,148,177,1.7801544295908,11.0,148,40,1.7824611497191425,13.0,120,246,1.792305574756443,12.0,164,118,1.7947255755616789,13.0,163,96,1.796329911117958,9.0
CDFS006417_P2M4Q4_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_001_1,100,165,0.8621251619999892,-21.0,101,154,0.8895755929818063,-24.0,158,243,0.9159411329820036,-25.0,152,196,0.9279761805671267,-24.0,99,37,0.9294575095788838,-25.0,102,184,0.930930865947604,-22.0,99,10,0.9468232523820359,-29.0,164,238,0.9571934976506218,-20.0,163,57,0.9611563611655374,-26.0,162,122,0.9638298503289655,-23.0
CDFS208015_P2M1Q4_P2M2Q4_P2M3Q4_P2M4Q4_002_2,153,274,1.258240824451106,37.0,150,37,1.292299255018409,33.0,117,105,1.321558449931283,32.0,145,2,1.346704490479434,31.0,99,56,1.3695900393258766,33.0,157,238,1.3812598940337983,32.0,151,37,1.3957990300666234,31.0,151,53,1.4032250526469605,36.0,152,209,1.422497269901757,33.0,152,252,1.4255579414114596,33.0
CDFS231741_P2M3Q1_P2M4Q1_012_1,132,164,0.416322573807304,-2.0,132,205,0.42958803356501896,1.0,162,183,0.4322005548623557,3.0,163,96,0.439392414092886,4.0,128,187,0.44703860109447885,-1.0,132,186,0.4491773367666156,0.0,118,191,0.4492942356794915,3.0,128,166,0.4513507241814499,-2.0,99,137,0.4527927544879958,-3.0,128,146,0.4593421520897532,-2.0
CDFS238431_P3M3Q1_P3M2Q1_009_1,153,207,1.0754923502560534,16.0,148,95,1.1752642511854072,3.0,143,66,1.1931221878375011,9.0,143,86,1.2072861024907484,8.0,101,143,1.2120097515711217,17.0,99,84,1.2130419132877037,15.0,143,85,1.2141211015380338,7.0,99,144,1.235295759121264,16.0,145,44,1.2437108076399819,6.0,99,222,1.2492325111501854,12.0
CDFS019568_P1M4Q2_P2M1Q2_007_1,149,139,0.8760488457099911,4.0,148,138,0.9114972098973416,2.0,148,101,0.9261528933944416,-2.0,149,80,0.9352116991936044,0.0,145,179,0.9768563511248298,-9.0,140,146,0.9910682756344038,-4.0,149,100,0.992524110839465,3.0,149,114,1.005016321035232,-2.0,149,93,1.006520487446346,-3.0,149,226,1.0074200195581093,-10.0
CDFS123006_P2M3Q2_P4M1Q2_P4M4Q2_P2M2Q2_P4M2Q2_P4M3Q2_001_1,101,21,1.8473168920760468,-12.0,103,79,1.867170092596814,-14.0,100,198,1.921881657269486,-12.0,148,198,1.9222897073893623,-9.0,158,114,1.9249259484483119,-9.0,100,280,1.9258680361660498,-9.0,102,21,1.9855221643329266,-14.0,163,56,1.994789730062222,-10.0,101,79,2.0079456406039737,-15.0,100,158,2.015642648767559,-14.0
CDFS141027_P2M2Q1_P2M3Q1_001_2,99,95,1.0460834771325325,-15.0,156,243,1.0867262741013395,-15.0,153,66,1.1008967846502025,-16.0,148,243,1.1008988779848998,-13.0,115,136,1.112141608124113,-13.0,156,203,1.1387054862953019,-18.0,150,23,1.1596192493787523,-19.0,116,143,1.1676120010100826,-12.0,120,118,1.1686049956285618,-16.0,101,36,1.1777992981067658,-17.0
CDFS129887_P2M3Q1_P2M4Q1_014_1,146,77,1.9066441149486029,-29.0,163,97,1.9533723834869765,-26.0,148,157,1.9573035273804733,-22.0,163,118,1.986194447806032,-23.0,164,137,2.088496061026977,-27.0,146,76,2.117638005214766,-27.0,163,117,2.1267576864590048,-26.0,161,118,2.137596201518297,-26.0,164,118,2.180239741111851,-26.0,146,96,2.195363661463825,-29.0
CDFS247534_P1M1Q1_P1M2Q1_P1M3Q1_P1M4Q1_011_1,150,37,0.9074311051855195,12.0,148,220,0.9799937415797191,3.0,145,16,1.032146001822834,6.0,145,13,1.0386137201662986,3.0,117,105,1.0513621710908359,11.0,110,18,1.065623539841178,11.0,148,157,1.0840537046232863,7.0,152,253,1.0861147735248868,11.0,158,243,1.0975593143848605,8.0,103,256,1.102547475470519,11.0
CDFS101998_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_015_2,120,138,0.790236794618239,3.0,161,203,0.7926784199940511,3.0,161,202,0.8029718925271564,3.0,148,219,0.8030883188667142,6.0,148,238,0.8406425571760511,5.0,161,222,0.857870908348467,2.0,148,199,0.8735943967884163,3.0,161,182,0.8863511082408609,2.0,161,184,0.9034699519650514,4.0,99,96,0.9182602393298055,-1.0
CDFS005891_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_007_1,148,66,0.7290765421749373,-2.0,148,50,0.7333439854262072,5.0,148,67,0.7413709947860758,-2.0,148,71,0.7416870986577967,6.0,160,90,0.7518627798488993,1.0,148,32,0.7540124254117803,7.0,99,20,0.7554126786241552,1.0,148,31,0.755690585820168,5.0,160,91,0.761287746973165,0.0,149,244,0.7667951778259479,0.0
CDFS246390_P2M1Q1_P2M2Q1_P2M3Q1_P2M4Q1_007_2,101,185,0.4483558291443078,5.0,100,55,0.4600127467114645,3.0,101,175,0.4688407565199835,-1.0,99,164,0.47485599137499235,6.0,99,202,0.47808079130985304,5.0,99,145,0.4856071043824015,5.0,101,143,0.5043779446651123,6.0,161,200,0.506731527306413,6.0,99,146,0.5079465575373059,6.0,160,23,0.5083023187297065,2.0
CDFS023037_P1M1Q2_P1M2Q2_P1M3Q2_P1M4Q2_007_1,145,186,1.830386639131817,-19.0,155,164,1.8326658646051976,-17.0,124,248,1.8507650648859566,-15.0,121,97,1.8520509243026533,-18.0,117,98,1.854404612979528,-20.0,145,165,1.859161917411444,-18.0,117,187,1.862933377605198,-17.0,124,249,1.875733448303147,-17.0,124,228,1.8761879549115632,-16.0,121,188,1.8795937058799437,-19.0
CDFS115905_P1M1Q3_P1M4Q3_017_1,113,184,0.7088005376947568,14.0,163,98,0.718071871833066,15.0,145,16,0.7205187672799344,15.0,110,162,0.7306319306131095,15.0,151,53,0.7325900082374953,15.0,112,225,0.7382139213228152,13.0,125,261,0.7397887191359609,15.0,145,13,0.7405683900626717,15.0,122,261,0.7420555608686032,17.0,164,119,0.7455486778129008,13.0
CDFS226606_P2M1Q1_040_1,164,56,0.5541868409855253,-7.0,161,203,0.5624642731503116,-4.0,148,131,0.5735812809562306,-10.0,148,219,0.5760770298915566,-1.0,164,36,0.6255428761627362,-6.0,148,199,0.6353517069494108,-5.0,108,36,0.6434489466752656,-8.0,156,143,0.6465437908523596,-11.0,148,180,0.6504327456096501,-2.0,145,11,0.6550024411425911,-8.0
UDS395442_P4M2Q1_P4M1Q1_P4M4Q1_P4M3Q1_010_2,148,186,1.427937758440351,-22.0,148,103,1.4663472632279995,-9.0,148,259,1.4785655703701301,0.0,148,122,1.5218838908002934,-16.0,148,260,1.524563496011991,-1.0,148,141,1.5409588983215357,-1.0,148,130,1.5935843116385628,-20.0,148,183,1.61022473767902,-13.0,153,27,1.6206069750987646,-9.0,148,161,1.6404738403576682,-11.0
CDFS208175_P3M1Q4_P3M4Q4_P3M2Q4_P3M3Q4_009_1,100,246,2.260463237198417,26.0,161,229,2.2730496576138086,31.0,98,127,2.2940776818541186,28.0,99,70,2.30188003533363,32.0,99,116,2.305022723172348,26.0,99,248,2.3066654284007035,34.0,100,278,2.3070341065874427,28.0,160,225,2.311417855561933,30.0,93,247,2.3173916805794357,29.0,96,149,2.3175147387272568,29.0
UDS003664_P1M1Q4_010_1,153,167,0.8331088592643363,-5.0,153,148,0.8879266388541394,-2.0,107,189,0.8946145612647398,-1.0,153,128,0.9102458118172768,0.0,120,212,0.9282340936081618,-8.0,99,56,0.9358147252891941,2.0,149,147,0.9430493725320378,-5.0,153,173,0.9497732841963121,-1.0,152,188,0.9568615343498293,-3.0,158,186,0.9584520441164849,-10.0
UDS009473_P4M2Q4_P1M1Q3_P4M4Q4_001_1,161,161,2.2146180308804415,-15.0,161,182,2.2170457663704246,-17.0,141,75,2.2487382330852257,-16.0,148,199,2.2542956434197956,-12.0,162,224,2.263982885892198,-14.0,100,278,2.287160037092502,-14.0,161,143,2.2971302229000043,-16.0,161,142,2.2992959502756674,-11.0,155,222,2.304767737113376,-14.0,153,128,2.305131141342187,-12.0
CDFS131961_P3M3Q1_P3M4Q1_P3M1Q1_P3M2Q1_002_1,99,78,5.956615231877327,-31.0,100,138,6.154029601176839,-27.0,99,197,6.200314775603841,-27.0,100,98,6.268827135741233,-28.0,99,177,6.570604181451252,-28.0,95,118,6.933912659462948,-26.0,163,77,6.988433762728531,-24.0,163,117,7.002665168475514,-23.0,163,97,7.004963271102911,-23.0,162,183,7.060442647587982,-24.0
UDS149311_P1M1Q3_P1M2Q3_040_1,148,156,0.8633892868335197,-23.0,127,196,0.9736608484694503,-24.0,117,187,0.991627305629864,-23.0,162,223,0.9962300550094628,-23.0,153,87,0.996610403598885,-20.0,120,187,0.9983293902227842,-25.0,149,75,1.0087795121525576,-22.0,126,205,1.0127738505603332,-25.0,116,188,1.0141787221463987,-23.0,156,224,1.0148868182852333,-27.0
